id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1860-36288,1867-10-1,13,0-1-2-0-0-0-0-0-1-2-3-1-1-0-0,1860,1.4740891620614096,1.8461538461538463,4.0,0.8333333333333333,4,6,0.0,1.7190082644628097,0.9090909090909091,0.7768595041322315,1.6363636363636365,6
1860-83356,1867-10-10,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-14276,1867-10-10,12,0-1-1-0-0-0-1-0-0-3-3-1-1-0-0,1860,1.5941031009059818,2.3333333333333335,4.0,0.9166666666666666,5,7,0.0,2.446280991735537,0.9090909090909091,0.6115702479338843,1.4545454545454546,4
1860-17836,1867-10-10,12,0-1-1-0-0-0-1-0-1-3-3-0-1-0-0,1860,1.6304707450768565,2.25,3.0,1.0,4,7,0.0,2.264462809917355,0.9090909090909091,0.42975206611570244,1.4545454545454546,2
1860-92073,1867-10-10,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,0.49041462650586304,1.5,3.0,0.5,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-92072,1867-10-10,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,0.49041462650586304,1.5,3.0,0.5,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-15882,1867-10-12,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-100432,1867-10-12,13,0-1-1-0-0-0-1-0-1-3-3-1-0-0-0,1860,0.9751218016040769,1.9230769230769231,4.0,0.825,5,7,0.0,2.2644628099173554,0.9090909090909091,0.8099173553719009,1.9090909090909092,4
1860-66549,1867-10-14,11,0-1-1-0-0-0-1-0-1-1-1-2-2-0-0,1860,1.192787394205165,3.1818181818181817,3.0,1.0,5,7,0.0,2.69,0.9,0.41000000000000003,1.3,2
1860-47330,1867-10-14,11,0-0-1-0-0-0-1-0-2-3-3-0-0-0-0,1860,1.548283664645143,1.7272727272727273,3.0,0.9166666666666666,4,7,0.0,2.09,0.9,0.44000000000000006,1.4,2
1860-18476,1867-10-14,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-15338,1867-10-17,13,0-1-2-0-0-0-0-0-1-2-2-1-1-0-0,1860,1.6078095548771831,1.7692307692307692,3.0,0.7999999999999999,5,6,0.0,2.69,0.9,0.41,1.3,4
1860-15342,1867-10-17,13,0-1-2-0-0-0-0-0-1-2-2-1-1-0-0,1860,0.44622665453014976,2.3076923076923075,3.0,0.6666666666666666,5,7,0.0,2.69,0.9,0.41,1.3,4
1860-36062,1867-10-18,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
