id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1800-13613,1803-12-05,11,2-0-0-1-0-3-1-0-1-0-0-0-1-0-0-1,1800,0.9121413304668073,2.2,3.0,0.8333333333333334,4,7,0.0,2.09,0.9,0.44000000000000006,1.4,2
1800-49219,1803-12-09,7,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,0.9121413304668073,2.2,2.0,1.0,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-52595,1803-12-12,12,2-0-1-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.6177367152487956,2.1818181818181817,4.0,0.9166666666666666,4,7,0.0,1.9008264462809914,0.9090909090909091,0.7768595041322314,1.6363636363636365,4
1800-13010,1804-02-27,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.02786250753126,1.6,5.0,0.6666666666666666,3,6,0.0,1.2900000000000003,0.9,1.61,2.3,6
1800-31818,1804-02-27,12,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.4343037677960628,2.090909090909091,4.0,0.7916666666666666,3,7,0.0,1.5371900826446279,0.9090909090909091,0.7438016528925618,1.7272727272727273,4
1800-33174,1804-02-27,12,2-0-1-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.693511664312396,1.3636363636363635,5.0,0.7333333333333333,3,6,0.0,1.1735537190082643,0.9090909090909091,1.1735537190082646,1.9090909090909092,6
1800-10731,1804-02-28,12,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.4343037677960628,2.090909090909091,4.0,0.7916666666666666,3,7,0.0,1.5371900826446279,0.9090909090909091,0.7438016528925618,1.7272727272727273,4
1800-57175,1804-03-05,8,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-0,1800,1.127105754354915,1.7142857142857142,3.0,0.875,4,5,0.0,2.1224489795918364,0.8571428571428571,0.4081632653061225,1.1428571428571428,2
1800-40253,1804-03-07,12,3-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,0.9989775203110881,1.7272727272727273,5.0,0.7083333333333333,3,7,0.0,1.5371900826446279,0.9090909090909091,1.4710743801652895,2.272727272727273,6
1800-12757,1804-03-07,11,1-0-1-1-0-2-1-0-1-0-0-0-2-0-0-1,1800,1.1025023823275908,2.1,3.0,0.8666666666666667,5,7,0.0,2.4899999999999998,0.9,0.41,1.3,2
