len_group,metric,MannKendall,p,slope,Parser,Corpus
5,mDD,2,0.01121463834163,0.0,stanza,Hansard (en)
5,nDD,1,1.0528733129788749e-07,3.857925465390383e-06,stanza,Hansard (en)
5,Height,2,0.0002692905154335,0.0,stanza,Hansard (en)
5,Ratio$_{head-final}$,1,1.3057486153211784e-05,0.0,stanza,Hansard (en)
5,treeDegree,1,1.0936607175437983e-10,0.0,stanza,Hansard (en)
5,#Leaves,1,1.1199849936360804e-09,0.0,stanza,Hansard (en)
5,degreeVar,1,6.5657834724675e-10,0.0,stanza,Hansard (en)
5,degreeMean,1,0.000705772653857,0.0,stanza,Hansard (en)
5,depthVar,2,6.869210689153249e-08,0.0,stanza,Hansard (en)
5,depthMean,2,0.0001729883816508,0.0,stanza,Hansard (en)
5,d$_{head-final}$,2,0.000143807985564,0.0,stanza,Hansard (en)
5,#Crossings,1,0.0122491205814603,0.0,stanza,Hansard (en)
5,Height$_{dependency}$,0,0.5940290043811272,0.0,stanza,Hansard (en)
5,d$_{root}$,1,0.0069219113525682,0.0,stanza,Hansard (en)
5,d$_{randomTree}$,0,0.3916305495145777,0.0,stanza,Hansard (en)
10,mDD,0,0.5794773222088758,0.0,stanza,Hansard (en)
10,nDD,0,0.4159802998928059,2.377060849322114e-06,stanza,Hansard (en)
10,Height,0,0.0685512188878196,0.0,stanza,Hansard (en)
10,Ratio$_{head-final}$,1,0.0211216763364887,0.0,stanza,Hansard (en)
10,treeDegree,0,0.1205889536297804,0.0,stanza,Hansard (en)
10,#Leaves,0,0.0965528255605159,0.0,stanza,Hansard (en)
10,degreeVar,1,0.0275501384007785,0.0,stanza,Hansard (en)
10,degreeMean,0,0.5732062058845666,0.0,stanza,Hansard (en)
10,depthVar,0,0.1020607914587752,-4.5013427350847024e-08,stanza,Hansard (en)
10,depthMean,2,0.0243382514204666,0.0,stanza,Hansard (en)
10,d$_{head-final}$,0,0.171129514752828,0.0,stanza,Hansard (en)
10,#Crossings,0,0.1109168026309772,0.0,stanza,Hansard (en)
10,Height$_{dependency}$,0,0.2505170800528999,0.0,stanza,Hansard (en)
10,d$_{root}$,0,0.8153211881384885,0.0,stanza,Hansard (en)
10,d$_{randomTree}$,0,0.4058576178302837,0.0,stanza,Hansard (en)
15,mDD,0,0.6256581325281805,0.0,stanza,Hansard (en)
15,nDD,0,0.1944550446148776,-6.514419909142006e-06,stanza,Hansard (en)
15,Height,0,0.2248939683012194,0.0,stanza,Hansard (en)
15,Ratio$_{head-final}$,0,0.09154152741546,2.2768670309653683e-06,stanza,Hansard (en)
15,treeDegree,0,0.2824306417442561,0.0,stanza,Hansard (en)
15,#Leaves,0,0.1315023237153925,0.0,stanza,Hansard (en)
15,degreeVar,1,0.0087132859423655,9.091781725641924e-06,stanza,Hansard (en)
15,degreeMean,0,0.5463845780157977,0.0,stanza,Hansard (en)
15,depthVar,0,0.2280024104781612,-9.028913637652332e-06,stanza,Hansard (en)
15,depthMean,0,0.1084583063390796,-2.9949086552860037e-06,stanza,Hansard (en)
15,d$_{head-final}$,2,0.0269294631230008,0.0,stanza,Hansard (en)
15,#Crossings,0,0.9922847435885314,0.0,stanza,Hansard (en)
15,Height$_{dependency}$,0,0.2565707584548478,0.0,stanza,Hansard (en)
15,d$_{root}$,0,0.4100906990403392,0.0,stanza,Hansard (en)
15,d$_{randomTree}$,0,0.4982684177500922,0.0,stanza,Hansard (en)
20,mDD,0,0.2487028311742285,4.154240727149837e-06,stanza,Hansard (en)
20,nDD,0,0.163938074157445,-8.316076664332546e-06,stanza,Hansard (en)
20,Height,0,0.0968065175687813,0.0,stanza,Hansard (en)
