id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.8181818181818183,0.5529349834871969,5.0,0.7916666666666666,4,6,1.4097222222222223,0.9166666666666666,1.2430555555555556,1.9166666666666667,6,1,16,2,18.0
1860-58646,1867-02-25,16,2.5714285714285716,1.305443226324281,4.0,0.5900000000000001,5,10,2.4622222222222225,0.9333333333333333,0.7288888888888891,1.7333333333333334,7,0,15,6,18.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-30192,1867-02-25,21,3.0625,0.6439486864372352,6.0,0.6666666666666666,3,9,1.3494809688581313,0.9411764705882353,2.2975778546712804,3.235294117647059,9,0,25,2,27.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-17774,1867-02-26,70,4.559322033898305,1.812473024145699,8.0,0.7480555555555556,9,40,3.2497222222222226,0.9833333333333333,3.043333333333334,3.3,22,0,87,13,92.0
1860-109304,1867-02-26,20,3.1333333333333333,1.6304913216319328,6.0,0.6428571428571429,3,9,1.43359375,0.9375,1.734375,2.625,9,3,43,16,24.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,8.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,7.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,6.0
