len_group,metric,MannKendall,p,slope
5,MDD,increasing,0.0,2.668089647812169e-05
5,NDD,decreasing,0.0,-1.7813130401399026e-05
5,Height,decreasing,1.4237944157002858e-11,0.0
5,Ratio$_{head-final}$,no trend,0.45830215114490036,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,6.458181376124479e-05
5,degreeMean,no trend,0.050234269292714684,0.0
5,depthVar,decreasing,0.0,-5.1559680329981e-06
5,depthMean,decreasing,2.398081733190338e-14,0.0
5,d$_{head-final}$,decreasing,3.207790921777587e-09,0.0
5,#Crossings,no trend,0.17411979418564694,0.0
5,Height$_{dependency}$,increasing,0.001500522040233765,0.0
5,d$_{root}$,no trend,0.42201145233379433,0.0
5,d$_{randomTree}$,no trend,0.18958882982027303,0.0
10,MDD,increasing,7.079226094219848e-12,6.903693476009663e-05
10,NDD,decreasing,1.0529630609878993e-05,-2.1854089461668953e-05
10,Height,decreasing,0.006087102047425796,0.0
10,Ratio$_{head-final}$,increasing,0.009153957844888927,0.0
10,treeDegree,increasing,6.59716033086788e-05,0.0
10,#Leaves,increasing,1.6809886815849495e-11,0.0
10,degreeVar,increasing,2.1898138857778804e-08,4.3160555995566224e-05
10,degreeMean,increasing,0.001376268924325963,0.0
10,depthVar,decreasing,0.007856378863891011,-3.1543502434753454e-06
10,depthMean,decreasing,0.004330990086915731,0.0
10,d$_{head-final}$,decreasing,0.01130016458216132,0.0
10,#Crossings,no trend,0.23773581657521836,0.0
10,Height$_{dependency}$,increasing,0.0010523645939433113,0.0
10,d$_{root}$,no trend,0.0566535994973727,0.0
10,d$_{randomTree}$,no trend,0.9760987309359985,0.0
15,MDD,increasing,0.005496399757676462,2.988196623337815e-05
15,NDD,no trend,0.8850086075073378,-3.246790475860881e-07
15,Height,no trend,0.22830624708991687,0.0
15,Ratio$_{head-final}$,no trend,0.7013488078924828,0.0
15,treeDegree,no trend,0.5656750118045764,0.0
15,#Leaves,no trend,0.08639003059294215,0.0
15,degreeVar,no trend,0.2764203710815385,8.458842092382145e-20
15,degreeMean,no trend,0.057274184344448864,0.0
15,depthVar,no trend,0.08744147856216888,-9.81633634694863e-06
15,depthMean,no trend,0.15694852455870367,0.0
15,d$_{head-final}$,no trend,0.23688129888345166,0.0
15,#Crossings,no trend,0.16467409224569085,0.0
15,Height$_{dependency}$,no trend,0.09631254175164705,0.0
15,d$_{root}$,no trend,0.229430847626221,0.0
15,d$_{randomTree}$,no trend,0.7734645929861284,0.0
20,MDD,increasing,0.006878805601578719,3.066920198736418e-05
20,NDD,no trend,0.12253136546988386,-1.0224660862166962e-05
20,Height,no trend,0.25576618049841726,0.0
20,Ratio$_{head-final}$,no trend,0.28002573901000405,-1.588852610990084e-06
20,treeDegree,no trend,0.06592610387538178,0.0
20,#Leaves,no trend,0.07030713134351951,0.0
20,degreeVar,decreasing,0.036303578396003955,-1.3130943156294742e-05
20,degreeMean,no trend,0.5388403012179195,0.0
20,depthVar,no trend,0.6214467230189937,3.730751653189291e-06
20,depthMean,no trend,0.3667304017522821,0.0
20,d$_{head-final}$,no trend,0.2677729452887927,0.0
20,#Crossings,no trend,0.5007337848971267,0.0
20,Height$_{dependency}$,increasing,0.0319269640478923,0.0
20,d$_{root}$,no trend,0.7778993578434021,0.0
20,d$_{randomTree}$,no trend,0.3849179653581487,0.0
30,MDD,no trend,0.09055045388980432,1.9511575915236806e-05
30,NDD,decreasing,0.043204017161444286,-1.5430058254714417e-05
30,Height,no trend,0.3090491397495385,0.0
30,Ratio$_{head-final}$,decreasing,0.007013471610973321,-3.826140189776548e-06
30,treeDegree,decreasing,1.294794927919618e-05,0.0
30,#Leaves,decreasing,0.0024033602206601223,0.0
30,degreeVar,decreasing,7.181408913337073e-05,-3.726181109920091e-05
30,degreeMean,no trend,0.38142072003290384,0.0
30,depthVar,no trend,0.39945076947661673,1.100099069440495e-05
30,depthMean,increasing,0.017202828633407607,1.8873978445916926e-05
30,d$_{head-final}$,no trend,0.469017091412415,0.0
30,#Crossings,decreasing,0.00014750226783744047,0.0
30,Height$_{dependency}$,no trend,0.054880328103490195,0.0
30,d$_{root}$,no trend,0.22058064613244355,0.0
30,d$_{randomTree}$,no trend,0.5125891993680844,0.0
40,MDD,increasing,0.01234846052631089,2.8787678877583944e-05
40,NDD,no trend,0.9193687276160802,7.416022639092444e-07
40,Height,increasing,0.000517057518143238,0.0
40,Ratio$_{head-final}$,decreasing,5.5723046177291735e-09,-7.333792799883541e-06
40,treeDegree,decreasing,3.4513676407277316e-05,0.0
40,#Leaves,decreasing,1.7563168697165565e-09,0.0
40,degreeVar,decreasing,7.134571555766911e-08,-4.861701785385892e-05
40,degreeMean,decreasing,0.0024215111485608176,0.0
40,depthVar,increasing,3.1800276563354046e-05,6.6345073520314e-05
40,depthMean,increasing,9.192696548421253e-07,4.399299937491515e-05
40,d$_{head-final}$,increasing,6.65949553151357e-05,0.0
40,#Crossings,no trend,0.13570408772197773,0.0
40,Height$_{dependency}$,increasing,6.58401286601773e-07,0.0007830853563038371
40,d$_{root}$,no trend,0.2517100922790223,0.0
40,d$_{randomTree}$,no trend,0.9366091944810255,0.0
