id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.090909090909091,0.8514279720431936,5.0,0.75,3,6,1.243055555555556,0.9166666666666666,1.0763888888888888,1.9166666666666667,6,0,16,2,16.0
1860-58646,1867-02-25,16,3.0,1.1512925464970227,4.0,0.6333333333333334,6,10,2.728888888888889,0.9333333333333333,0.64,1.6,5,0,15,6,17.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,5.0
1860-30192,1867-02-25,21,4.0,0.3768859011881902,6.0,0.7619047619047619,3,9,1.3494809688581313,0.9411764705882353,1.8961937716262975,2.5294117647058822,8,0,25,2,25.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-17774,1867-02-26,70,5.52542372881356,1.6202870223808303,7.0,0.8101851851851852,10,39,3.583055555555555,0.9833333333333333,1.6955555555555555,2.7333333333333334,24,1,97,13,93.0
1860-109304,1867-02-26,20,2.8666666666666667,1.7194388076484288,5.0,0.6666666666666666,4,8,1.55859375,0.9375,1.08984375,2.3125,8,0,39,16,24.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,6.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,4.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,5.0
1860-103303,1867-02-27,71,5.5636363636363635,2.1018828849697773,9.0,0.7732426303854875,7,29,2.767538265306122,0.9821428571428571,4.2114158163265305,3.6964285714285716,35,11,85,37,93.0
1860-47474,1867-02-27,30,5.458333333333333,0.9520151904208125,6.0,0.7266666666666667,5,14,2.3584,0.96,1.52,2.4,9,0,47,8,38.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,6.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
1860-103298,1867-02-27,40,5.527777777777778,1.1353938408936477,6.0,0.7904040404040404,9,25,3.377647918188458,0.972972972972973,1.4024835646457268,2.945945945945946,22,7,64,8,50.0
1860-99357,1867-02-27,11,2.25,0.6342556627317535,4.0,0.8125,4,5,1.654320987654321,0.8888888888888888,0.6913580246913581,1.4444444444444444,2,0,13,2,12.0
1860-87355,1867-02-28,62,4.036363636363636,1.7159439373958758,8.0,0.8300925925925927,8,38,3.4461096938775504,0.9821428571428571,2.811224489795918,3.2142857142857144,21,11,71,9,80.0
1860-66466,1867-02-28,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,3.0
1860-34969,1867-02-28,32,4.758620689655173,1.4231155143911152,6.0,0.8073593073593074,7,19,2.698888888888887,0.9666666666666667,1.4322222222222225,2.3666666666666667,10,0,43,13,37.0
1860-39111,1867-02-28,60,5.903846153846154,0.7588480721043459,7.0,0.6528822055137845,7,33,2.999644001423995,0.9811320754716981,1.934496262014952,2.9056603773584904,20,0,114,3,74.0
