len_group,metric,MannKendall,p,slope
5,MDD,increasing,0.0,2.4339783375927947e-05
5,NDD,decreasing,0.0,-1.9215826674612402e-05
5,Height,decreasing,8.729905687232531e-12,0.0
5,Ratio$_{head-final}$,no trend,0.8837059156311253,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,6.108994132946193e-05
5,degreeMean,increasing,0.04992492669908044,0.0
5,depthVar,decreasing,0.0,-6.54998834587113e-20
5,depthMean,decreasing,3.86557452713987e-12,0.0
5,d$_{head-final}$,decreasing,1.8759327402584347e-07,0.0
5,#Crossings,no trend,0.12656969271937824,0.0
5,Height$_{dependency}$,increasing,0.012208356599240577,0.0
5,d$_{root}$,no trend,0.9788292130149656,0.0
5,d$_{randomTree}$,no trend,0.9904039949906853,0.0
10,MDD,increasing,2.0298873693036512e-11,6.735829350381868e-05
10,NDD,decreasing,7.066450312676054e-06,-2.2197728799762474e-05
10,Height,decreasing,0.03266598453408731,0.0
10,Ratio$_{head-final}$,no trend,0.051880271468317085,0.0
10,treeDegree,increasing,2.496692822262503e-06,0.0
10,#Leaves,increasing,1.4969137041020986e-11,0.0
10,degreeVar,increasing,2.9128963685565168e-09,5.170858411375339e-05
10,degreeMean,increasing,0.001550011516588734,0.0
10,depthVar,decreasing,0.01421666945923783,-1.6172305548759403e-06
10,depthMean,decreasing,0.01440474530995317,0.0
10,d$_{head-final}$,decreasing,0.0013777800246970173,0.0
10,#Crossings,decreasing,7.12641790023838e-09,0.0
10,Height$_{dependency}$,increasing,0.005699351521223361,0.0
10,d$_{root}$,no trend,0.08779878875906055,0.0
10,d$_{randomTree}$,no trend,0.07522024590463117,0.0
15,MDD,increasing,0.014047123364681058,2.6090586516384934e-05
15,NDD,no trend,0.8945116100982504,2.897751287236384e-07
15,Height,no trend,0.15199632998772294,0.0
15,Ratio$_{head-final}$,no trend,0.4718324739297084,0.0
15,treeDegree,no trend,0.7310237163075091,0.0
15,#Leaves,no trend,0.06621652160186797,0.0
15,degreeVar,no trend,0.45945065971544574,0.0
15,degreeMean,no trend,0.06082981466992088,0.0
15,depthVar,no trend,0.23117656279967402,-5.811250581125046e-06
15,depthMean,no trend,0.7179224463595131,0.0
15,d$_{head-final}$,decreasing,0.004456432961321255,0.0
15,#Crossings,decreasing,8.124822596933257e-07,0.0
15,Height$_{dependency}$,increasing,0.029897794490705065,0.0
15,d$_{root}$,no trend,0.17204708723015005,0.0
15,d$_{randomTree}$,no trend,0.7155065850131312,0.0
20,MDD,increasing,0.030209754491278717,2.4582406375473578e-05
20,NDD,decreasing,0.027421904957753984,-1.4949673847864757e-05
20,Height,no trend,0.6416522564790406,0.0
20,Ratio$_{head-final}$,decreasing,0.03174015550187148,-3.6987720076934327e-06
20,treeDegree,decreasing,0.006340606643360225,0.0
