id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.727272727272727,0.585724806310188,5.0,0.8333333333333334,3,6,1.243055555555556,0.9166666666666666,1.1666666666666667,2.0,5,0,16,2,18.0
1860-58646,1867-02-25,16,2.5714285714285716,1.305443226324281,4.0,0.5900000000000001,5,10,2.4622222222222225,0.9333333333333333,0.7288888888888891,1.7333333333333334,7,0,15,6,18.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-30192,1867-02-25,21,4.0,0.3768859011881902,6.0,0.7619047619047619,3,10,1.3494809688581313,0.9411764705882353,1.8961937716262975,2.5294117647058822,7,0,25,2,27.0
1860-33293,1867-02-25,7,2.8,0.7621400520468968,3.0,1.0,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,11,6,5.0
1860-17774,1867-02-26,70,4.745762711864407,1.7723948005782886,10.0,0.7830555555555556,9,38,3.1497222222222225,0.9833333333333333,4.9608333333333325,3.85,23,0,118,13,90.0
1860-109304,1867-02-26,20,3.6,0.7985076962177716,6.0,0.6428571428571429,3,9,1.43359375,0.9375,1.74609375,2.5625,8,0,31,4,23.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,8.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,7.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,6.0
1860-103303,1867-02-27,71,5.654545454545454,2.0856750747429236,6.0,0.8106725146198831,9,37,3.517538265306122,0.9821428571428571,0.9741709183673471,2.3392857142857144,21,0,79,37,90.0
1860-47474,1867-02-27,30,5.708333333333333,0.9072315877938392,6.0,0.6166666666666667,8,17,3.6384,0.96,1.5615999999999999,2.28,7,0,59,8,39.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,5.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
1860-103298,1867-02-27,40,4.388888888888889,1.3661036325911733,5.0,0.7812499999999999,8,24,3.4317019722425126,0.972972972972973,1.1687363038714387,2.5135135135135136,10,0,39,8,48.0
1860-99357,1867-02-27,11,1.875,0.8165772195257082,5.0,0.7083333333333333,3,5,1.2098765432098766,0.8888888888888888,1.432098765432099,1.8888888888888888,4,0,13,2,13.0
1860-87355,1867-02-28,62,3.890909090909091,1.7526453042463037,8.0,0.8169642857142858,8,36,3.410395408163265,0.9821428571428571,3.8877551020408165,3.5714285714285716,15,0,71,9,78.0
1860-66466,1867-02-28,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-34969,1867-02-28,32,4.413793103448276,0.5624378471779073,5.0,0.7878787878787878,5,19,2.4988888888888874,0.9666666666666667,1.3122222222222217,2.566666666666667,9,0,43,2,37.0
1860-39111,1867-02-28,60,3.25,1.3557971047684696,13.0,0.5484848484848485,6,30,2.320398718405126,0.9811320754716981,13.021003915984334,6.188679245283019,29,0,69,3,78.0
1860-16007,1867-02-28,12,2.111111111111111,1.3770332191944585,4.0,0.4666666666666666,3,4,1.2900000000000003,0.9,0.8099999999999999,1.7,6,0,16,7,14.0
1860-34968,1867-02-28,60,4.596153846153846,2.1605248142570552,6.0,0.6731729055258467,11,35,3.7543609825560695,0.9811320754716981,1.4944820220719115,2.4716981132075473,23,0,62,30,77.0
1860-104037,1867-03-04,60,6.5625,0.7576857016975165,7.0,0.8849431818181819,11,33,4.019991670137443,0.9795918367346939,1.775093710953769,3.020408163265306,9,0,97,4,77.0
1860-107303,1867-03-04,62,5.452830188679245,1.1942369833358544,8.0,0.7976851851851853,8,36,3.2033607681755827,0.9814814814814815,3.62962962962963,3.6666666666666665,19,0,120,6,80.0
1860-21075,1867-03-04,61,3.1132075471698113,1.754718197547706,11.0,0.8087797619047619,7,38,3.6478052126200278,0.9814814814814815,6.775377229080934,4.7592592592592595,18,0,63,6,79.0
1860-9569,1867-03-04,21,3.764705882352941,1.3184637760438118,5.0,0.8095238095238094,6,11,2.4969135802469133,0.9444444444444444,0.8395061728395062,1.7777777777777777,4,0,28,11,27.0
1860-99011,1867-03-04,52,4.3023255813953485,1.3288188421883957,8.0,0.6647058823529413,6,27,2.204028925619834,0.9772727272727273,2.925619834710744,3.272727272727273,20,0,53,6,67.0
1860-65665,1867-03-04,11,2.25,0.8369882167858358,4.0,0.9,3,4,0.9876543209876544,0.8888888888888888,0.8395061728395062,1.7777777777777777,2,0,15,3,12.0
1860-96173,1867-03-04,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-104627,1867-03-04,21,3.7058823529411766,0.4818380868927383,5.0,0.9081632653061226,7,11,3.1635802469135803,0.9444444444444444,1.0,2.3333333333333335,4,0,26,2,29.0
1860-118554,1867-03-04,12,2.375,0.5801884414614777,4.0,0.4666666666666666,3,3,0.9876543209876544,0.8888888888888888,0.8888888888888888,1.6666666666666667,8,0,12,2,11.0
1860-40847,1867-03-04,30,3.32,0.4290834860823438,11.0,0.4469696969696969,4,15,1.8831360946745561,0.9615384615384616,8.224852071005916,5.923076923076923,17,0,58,1,37.0
1860-24806,1867-03-04,70,4.274193548387097,1.1682780665886905,7.0,0.8168498168498168,7,37,2.936255983875033,0.9841269841269841,1.710254472159234,3.507936507936508,22,0,73,3,91.0
1860-112755,1867-03-06,7,1.8,1.2039728043259361,4.0,0.8333333333333334,2,3,0.8055555555555555,0.8333333333333334,0.9166666666666666,1.5,4,0,13,6,7.0
1860-112749,1867-03-06,7,2.0,0.4581453659370775,2.0,0.25,4,4,2.560000000000001,0.8,0.16000000000000006,0.8,2,0,6,2,7.0
1860-77049,1867-03-06,72,4.5344827586206895,1.7695110252155146,7.0,0.7385802469135803,9,41,3.3386957770755537,0.9830508474576272,2.1648951450732548,2.9322033898305087,22,0,71,12,91.0
1860-86209,1867-03-06,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,4.0
1860-27563,1867-03-06,50,4.642857142857143,0.6918437078463752,7.0,0.7648809523809524,7,27,3.232017306652244,0.9767441860465116,2.108166576527853,3.2790697674418605,14,0,73,2,63.0
1860-27579,1867-03-06,21,5.294117647058823,1.2764556894510288,3.0,0.9166666666666666,7,12,3.0524691358024687,0.9444444444444444,0.3611111111111111,1.5,4,0,39,20,28.0
1860-104412,1867-03-06,72,4.883333333333334,1.5682211739597987,6.0,0.8360317460317462,8,46,4.311206664875033,0.9836065573770492,1.5237839290513302,3.1311475409836067,16,0,76,9,92.0
1860-69979,1867-03-06,12,1.8,1.160467115831121,4.0,0.7916666666666666,4,5,1.355371900826446,0.9090909090909091,0.7768595041322315,1.6363636363636365,4,0,12,3,12.0
1860-85032,1867-03-08,72,4.435483870967742,1.4778103851883142,7.0,0.7454481792717086,8,46,3.761652809271858,0.9841269841269841,2.528092718568909,3.3015873015873014,21,0,79,6,97.0
1860-106943,1867-03-08,11,2.625,1.2848239391215455,4.0,0.875,3,4,1.2098765432098766,0.8888888888888888,1.0617283950617284,1.7777777777777777,6,0,24,10,10.0
1860-114199,1867-03-08,7,1.8,1.2039728043259361,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222215,1.1666666666666667,2,0,11,6,8.0
1860-119125,1867-03-08,6,1.5,1.2039728043259361,3.0,1.0,2,3,0.9600000000000002,0.8,0.56,1.2,2,0,9,5,6.0
