len_group,metric,MannKendall,p,slope
5,MDD,increasing,4.241051954068098e-14,0.0
5,NDD,decreasing,7.172040739078511e-14,-1.0170101488597053e-05
5,Height,decreasing,5.958322724097798e-11,0.0
5,Ratio$_{head-final}$,no trend,0.5914662632888257,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,1.6431300764452317e-14,0.0
5,degreeVar,increasing,0.0,0.0
5,degreeMean,no trend,0.05561838726613977,0.0
5,depthVar,decreasing,0.0,0.0
5,depthMean,decreasing,4.669598041573408e-10,0.0
5,d$_{head-final}$,decreasing,0.00034471514361067435,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,increasing,0.014483663967297833,0.0
5,d$_{root}$,no trend,0.2607057719354178,0.0
5,d$_{randomTree}$,no trend,0.3616793931800988,0.0
10,MDD,increasing,4.534741671058384e-08,5.255965520866164e-05
10,NDD,decreasing,0.03189700273828122,-1.0504876060035584e-05
10,Height,decreasing,0.011687538049392154,0.0
10,Ratio$_{head-final}$,increasing,0.0028370190676076934,0.0
10,treeDegree,increasing,5.9749163471067845e-05,0.0
10,#Leaves,increasing,3.9966518983192145e-10,0.0
10,degreeVar,increasing,9.012410684405836e-08,4.253472222222209e-05
10,degreeMean,increasing,0.0006508696437510508,0.0
10,depthVar,decreasing,0.0012824396773039037,-8.05255961876171e-06
10,depthMean,decreasing,0.009807399435359132,0.0
10,d$_{head-final}$,decreasing,0.00018071470650915522,0.0
10,#Crossings,no trend,1.0,0.0
10,Height$_{dependency}$,increasing,0.0003158752396477116,0.0
10,d$_{root}$,increasing,0.029209499812678175,0.0
10,d$_{randomTree}$,no trend,0.8849164535071423,0.0
15,MDD,increasing,0.0036061176270063555,3.108959541818795e-05
15,NDD,no trend,0.5964284051671487,2.946693068841983e-06
15,Height,no trend,0.05486032469243263,0.0
15,Ratio$_{head-final}$,increasing,0.0133031459605788,4.943903179459393e-06
15,treeDegree,no trend,0.05272452589736232,0.0
15,#Leaves,increasing,0.004673432708099057,0.0
15,degreeVar,increasing,0.04394655828656502,6.433186361300094e-06
15,degreeMean,increasing,0.017984046091011008,0.0
15,depthVar,decreasing,0.03780094043283233,-1.3312942711925013e-05
15,depthMean,no trend,0.13319241009981564,0.0
15,d$_{head-final}$,decreasing,0.004795135237814829,0.0
15,#Crossings,no trend,1.0,0.0
15,Height$_{dependency}$,increasing,0.007769775703347914,0.0
15,d$_{root}$,no trend,0.06161054009557443,0.0
15,d$_{randomTree}$,no trend,0.9143095419094949,0.0
20,MDD,increasing,0.0332145777061037,2.341701011614829e-05
20,NDD,no trend,0.2721765635675273,-7.681398561932965e-06
20,Height,no trend,0.6158842139542375,0.0
20,Ratio$_{head-final}$,no trend,0.9481396743021775,0.0
20,treeDegree,no trend,0.901127365717195,0.0
20,#Leaves,no trend,0.4245050771845189,0.0
20,degreeVar,no trend,0.9874689781893164,0.0
20,degreeMean,no trend,0.0889105174160516,0.0
20,depthVar,no trend,0.8498729883335916,8.208736655444067e-08
20,depthMean,no trend,0.6623072799035303,0.0
20,d$_{head-final}$,no trend,0.7717909971332417,0.0
20,#Crossings,no trend,1.0,0.0
20,Height$_{dependency}$,no trend,0.09603039853696727,0.0
20,d$_{root}$,no trend,0.8141547844861923,0.0
20,d$_{randomTree}$,no trend,0.827618204623426,0.0
30,MDD,increasing,0.005025335231530148,3.630730502977201e-05
30,NDD,decreasing,0.00026863005677957297,-3.0114941962056577e-05
