id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,1.8181818181818181,0.9911899144183524,7.0,0.6666666666666666,3,5,0.9097222222222227,0.9166666666666666,3.243055555555556,3.0833333333333335,8,0,16,2,19.0
1860-58646,1867-02-25,16,2.5714285714285716,1.305443226324281,4.0,0.5900000000000001,5,10,2.4622222222222225,0.9333333333333333,0.7288888888888891,1.7333333333333334,7,0,15,6,18.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-30192,1867-02-25,21,3.0625,0.6439486864372352,6.0,0.6666666666666666,3,9,1.3494809688581313,0.9411764705882353,2.2975778546712804,3.235294117647059,9,0,25,2,27.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-17774,1867-02-26,70,5.932203389830509,1.5492512492640786,7.0,0.8272486772486772,10,41,3.8497222222222223,0.9833333333333333,1.6275000000000002,2.65,19,0,110,13,92.0
1860-109304,1867-02-26,20,3.0,1.6739764335716716,6.0,0.5625,3,8,1.18359375,0.9375,1.62109375,2.5625,9,0,43,16,23.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,8.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,7.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,6.0
1860-103303,1867-02-27,71,5.290909090909091,2.152144719750665,7.0,0.6856575963718821,8,31,3.0532525510204076,0.9821428571428571,1.8558673469387752,2.9642857142857144,28,0,79,37,90.0
1860-47474,1867-02-27,30,5.333333333333333,0.9751822497023469,6.0,0.6222222222222222,7,15,3.0784,0.96,1.8400000000000003,2.4,8,0,52,8,38.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,5.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
1860-103298,1867-02-27,40,6.305555555555555,1.0037486481367375,6.0,0.759090909090909,6,25,2.783053323593864,0.972972972972973,1.2344777209642075,2.810810810810811,13,0,68,8,50.0
1860-99357,1867-02-27,11,1.875,0.8165772195257082,5.0,0.7083333333333333,3,5,1.2098765432098766,0.8888888888888888,1.432098765432099,1.8888888888888888,4,0,13,2,13.0
1860-87355,1867-02-28,62,4.218181818181818,1.6718839476018454,8.0,0.8415178571428571,10,40,4.624681122448979,0.9821428571428571,2.1875,2.75,15,0,72,9,78.0
1860-66466,1867-02-28,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-34969,1867-02-28,32,4.758620689655173,1.4231155143911152,6.0,0.8073593073593074,7,19,2.698888888888887,0.9666666666666667,1.4322222222222225,2.3666666666666667,10,0,43,13,39.0
1860-39111,1867-02-28,60,4.5,1.0303747043338416,7.0,0.7014069264069265,7,31,2.54681381274475,0.9811320754716981,1.4360982556069777,2.811320754716981,19,0,70,3,77.0
1860-16007,1867-02-28,12,1.8888888888888888,1.4882588543046829,4.0,0.29166666666666663,4,5,1.89,0.9,0.65,1.5,6,0,13,7,13.0
1860-34968,1867-02-28,60,5.326923076923077,2.2157034140553096,8.0,0.7444444444444445,9,36,3.4902100391598436,0.9811320754716981,2.8999644001423985,3.0754716981132075,22,1,113,45,78.0
1860-104037,1867-03-04,60,4.208333333333333,1.6074557512301093,7.0,0.7319444444444445,8,29,2.8771345272802993,0.9795918367346939,1.9866722199083713,2.816326530612245,22,1,70,9,78.0
1860-107303,1867-03-04,62,4.490566037735849,1.3883929977768117,8.0,0.7261904761904763,7,35,3.4626200274348427,0.9814814814814815,2.8672839506172854,3.9444444444444446,22,0,70,6,82.0
1860-21075,1867-03-04,61,5.811320754716981,1.1305638884747122,8.0,0.837037037037037,8,36,3.87002743484225,0.9814814814814815,2.5089163237311385,3.4814814814814814,16,0,75,6,78.0
1860-9569,1867-03-04,21,3.6470588235294117,1.3502124743583923,5.0,0.8333333333333333,6,10,2.2746913580246915,0.9444444444444444,0.9166666666666666,1.8333333333333333,7,1,28,11,28.0
1860-99011,1867-03-04,52,5.046511627906977,1.1692773137262609,7.0,0.7119047619047618,7,27,2.4767561983471067,0.9772727272727273,1.9462809917355377,2.909090909090909,19,0,53,6,65.0
1860-65665,1867-03-04,11,2.25,0.8369882167858358,4.0,0.9,3,4,0.9876543209876544,0.8888888888888888,0.8395061728395062,1.7777777777777777,2,0,15,3,12.0
1860-96173,1867-03-04,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-104627,1867-03-04,21,3.0588235294117645,1.2230352390368986,5.0,0.7142857142857143,5,11,2.0524691358024687,0.9444444444444444,0.9783950617283951,2.2777777777777777,5,0,26,6,29.0
1860-118554,1867-03-04,12,2.375,1.3322271398496148,5.0,0.6,2,3,0.7654320987654322,0.8888888888888888,1.3333333333333333,2.0,6,0,21,9,10.0
1860-40847,1867-03-04,30,4.76,1.7524485157606495,11.0,0.45,4,15,1.9600591715976328,0.9615384615384616,10.178994082840237,4.884615384615385,18,0,74,29,38.0
1860-24806,1867-03-04,70,4.161290322580645,1.1950483076532954,8.0,0.7313333333333333,6,37,2.428319475938525,0.9841269841269841,2.083648274124465,3.6984126984126986,28,0,73,3,90.0
1860-112755,1867-03-06,7,1.8,1.2039728043259361,4.0,0.8333333333333334,2,3,0.8055555555555555,0.8333333333333334,0.9166666666666666,1.5,4,0,13,6,7.0
1860-112749,1867-03-06,7,2.0,0.4581453659370775,2.0,0.25,4,3,2.560000000000001,0.8,0.16000000000000006,0.8,2,0,6,2,6.0
1860-77049,1867-03-06,72,5.603448275862069,1.5578398750635416,9.0,0.6721428571428572,7,38,2.5929330652111466,0.9830508474576272,3.7357081298477453,3.4237288135593222,26,0,129,12,93.0
1860-86209,1867-03-06,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,4.0
1860-27563,1867-03-06,50,4.976190476190476,0.6225090144453111,7.0,0.7431972789115647,7,29,3.7436452136289873,0.9767441860465116,2.0443482963764197,3.046511627906977,16,1,53,2,65.0
1860-27579,1867-03-06,21,6.0625,1.1123505525415018,4.0,0.7777777777777777,7,10,3.114186851211072,0.9411764705882353,0.4844290657439447,1.5294117647058822,7,0,39,20,26.0
1860-104412,1867-03-06,72,5.516666666666667,1.446275407599803,6.0,0.8422222222222223,9,45,4.343993550120935,0.9836065573770492,1.1346412254770222,2.5245901639344264,16,0,76,9,92.0
1860-69979,1867-03-06,12,1.9,1.1063998945608453,4.0,0.8,4,6,1.5371900826446279,0.9090909090909091,0.8099173553719009,1.9090909090909092,4,0,14,3,12.0
1860-85032,1867-03-08,72,3.596774193548387,1.6874097113947668,11.0,0.7883333333333333,6,43,3.190224237843287,0.9841269841269841,5.5147392290249435,5.095238095238095,22,0,81,6,95.0
1860-106943,1867-03-08,11,2.0,1.4451858789480823,5.0,0.5,2,3,0.7654320987654322,0.8888888888888888,1.654320987654321,2.111111111111111,7,0,19,8,12.0
1860-114199,1867-03-08,7,1.4,1.2525546785527597,3.0,0.6666666666666666,3,4,1.472222222222222,0.8333333333333334,0.47222222222222215,1.1666666666666667,2,0,7,4,8.0
1860-119125,1867-03-08,6,1.25,1.2747225854627857,3.0,0.75,2,3,0.9600000000000002,0.8,0.56,1.2,2,0,7,4,6.0
1860-72894,1867-03-08,21,3.1666666666666665,1.2154197142588623,4.0,0.9027777777777777,6,13,2.8919667590027704,0.9473684210526315,0.6925207756232687,1.7894736842105263,4,0,25,6,25.0
1860-37625,1867-03-08,30,3.962962962962963,1.4880579230292101,6.0,0.8401360544217688,7,21,3.5344387755102042,0.9642857142857143,1.7295918367346936,2.357142857142857,8,0,48,11,38.0
1860-78184,1867-03-09,70,4.451612903225806,1.9645952436435987,8.0,0.8197278911564626,7,42,2.9680020156210647,0.9841269841269841,2.2040816326530615,2.9523809523809526,14,0,82,16,91.0
1860-97647,1867-03-09,11,2.142857142857143,1.3173014896329391,4.0,0.5,2,3,0.859375,0.875,0.9375,1.75,6,0,18,8,13.0
1860-81229,1867-03-09,70,4.258064516129032,0.9693262353745145,9.0,0.727536231884058,6,40,2.4600655076845563,0.9841269841269841,3.742000503905266,4.492063492063492,23,0,77,2,89.0
1860-91784,1867-03-09,10,2.4285714285714284,0.8455647563989607,3.0,0.875,4,6,2.359375,0.875,0.4375,1.25,2,0,12,4,10.0
1860-81245,1867-03-09,70,4.548387096774194,0.9033682675827168,10.0,0.720995670995671,7,40,2.936255983875033,0.9841269841269841,4.18140589569161,4.571428571428571,24,0,75,2,88.0
1860-50809,1867-03-09,31,3.9642857142857144,1.6926165849759973,4.0,0.9444444444444444,6,20,2.65398335315101,0.9655172413793104,0.6539833531510106,2.0344827586206895,4,0,42,16,36.0
1860-50785,1867-03-09,50,3.7857142857142856,1.903390574461023,8.0,0.7330158730158729,7,26,3.1389940508382903,0.9767441860465116,3.0795024337479724,3.116279069767442,16,0,59,15,64.0
1860-119438,1867-03-11,31,5.36,0.29665788420800293,8.0,0.5236111111111111,5,14,1.8831360946745561,0.9615384615384616,4.463017751479289,3.8076923076923075,14,0,52,2,40.0
1860-103385,1867-03-11,61,4.490566037735849,1.643805809659807,7.0,0.7157894736842105,6,35,2.870027434842249,0.9814814814814815,1.876543209876543,2.888888888888889,19,0,65,10,78.0
1860-110966,1867-03-11,71,5.338983050847458,1.0652842667510822,8.0,0.7428571428571429,6,39,2.5830555555555548,0.9833333333333333,2.536388888888889,3.216666666666667,21,0,73,4,94.0
1860-83578,1867-03-11,51,4.826086956521739,1.9800860844825858,6.0,0.7476190476190476,7,29,2.659121774558624,0.9787234042553191,1.7220461747397013,2.74468085106383,16,2,57,26,62.0
1860-110954,1867-03-11,71,5.350877192982456,1.0461081770602936,9.0,0.8428571428571429,6,35,2.603151010701546,0.9827586206896551,3.475921521997621,3.8448275862068964,22,0,101,4,91.0
1860-80068,1867-03-11,50,4.119047619047619,1.360857816246398,11.0,0.6844444444444445,6,27,2.766901027582477,0.9767441860465116,7.911303407247161,4.744186046511628,18,0,76,6,68.0
1860-18505,1867-03-11,15,2.727272727272727,1.4816045409242156,5.0,0.6666666666666666,3,8,1.743055555555556,0.9166666666666666,1.4722222222222223,2.1666666666666665,5,0,31,12,15.0
1860-18398,1867-03-11,60,3.7450980392156863,2.3212763190560115,9.0,0.6412698412698413,5,31,2.0573224852071,0.9807692307692307,3.681582840236686,3.673076923076923,25,0,67,28,77.0
1860-83125,1867-03-11,41,3.5833333333333335,0.8757390806965226,6.0,0.7787878787878788,8,26,3.7019722425127854,0.972972972972973,1.52081811541271,2.7837837837837838,12,0,41,2,54.0
1860-56376,1867-03-11,32,3.0,1.953784327539383,6.0,0.7705128205128204,5,15,1.8201530612244898,0.9642857142857143,1.6326530612244898,2.7142857142857144,13,0,43,16,40.0
1860-119439,1867-03-11,40,3.8823529411764706,1.8378393048026056,6.0,0.7263888888888889,5,22,2.3134693877551027,0.9714285714285714,1.342040816326531,2.8285714285714287,15,0,55,17,52.0
1860-8174,1867-03-11,71,4.590163934426229,1.98483733247469,8.0,0.8898809523809523,8,42,3.1771592091571272,0.9838709677419355,2.4193548387096775,3.0,15,0,73,18,93.0
1860-30536,1867-03-11,5,2.0,0.6931471805599453,2.0,1.0,3,3,1.6875,0.75,0.1875,0.75,2,0,7,4,5.0
1860-35813,1867-03-11,22,3.210526315789474,1.4300435404382343,5.0,0.875,8,15,4.147500000000001,0.95,1.19,1.9,5,0,25,9,26.0
1860-50385,1867-03-12,70,4.517241379310345,1.4267469633522096,9.0,0.5994897959183674,8,36,2.999712726228095,0.9830508474576272,4.910657856937663,4.067796610169491,30,0,80,6,90.0
1860-70658,1867-03-12,72,4.338709677419355,2.395749837867074,8.0,0.7760770975056688,7,41,2.936255983875033,0.9841269841269841,2.5215419501133787,3.380952380952381,23,0,103,36,87.0
1860-98093,1867-03-12,32,4.538461538461538,0.6846364908920367,6.0,0.774074074074074,6,18,2.702331961591221,0.9629629629629629,1.6543209876543212,2.888888888888889,10,0,39,3,42.0
1860-89872,1867-03-12,61,4.648148148148148,1.1603448806086714,8.0,0.7970588235294118,8,38,3.254214876033059,0.9818181818181818,1.941818181818182,3.2,14,0,76,4,75.0
1860-107403,1867-03-12,70,6.5344827586206895,1.9248557897249334,6.0,0.8402777777777778,8,41,3.0675093363975865,0.9830508474576272,1.3995978167193335,2.9152542372881354,14,0,93,34,92.0
1860-34836,1867-03-12,61,6.72,1.9641559067122647,8.0,0.813425925925926,8,32,3.313341022683583,0.9803921568627451,2.638985005767012,3.2941176470588234,21,0,131,45,79.0
1860-68824,1867-03-12,31,3.5185185185185186,1.4477830003313081,6.0,0.8363095238095238,7,20,3.8915816326530623,0.9642857142857143,1.3724489795918366,2.357142857142857,7,0,35,8,35.0
1860-98101,1867-03-12,41,3.4444444444444446,1.6084171000131033,8.0,0.85578231292517,7,23,2.7289992695398095,0.972972972972973,3.8714390065741413,3.4864864864864864,10,0,56,8,54.0
1860-12590,1867-03-12,50,4.261904761904762,0.9801900146234493,7.0,0.82,5,28,2.766901027582477,0.9767441860465116,1.9459167117360736,3.2325581395348837,9,0,58,3,64.0
1860-50392,1867-03-12,71,5.629032258064516,0.6902034163184033,9.0,0.8673469387755103,9,42,3.348954396573445,0.9841269841269841,3.022423784328546,4.73015873015873,15,0,101,2,90.0
1860-76113,1867-03-13,7,2.0,0.11157177565710491,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.64,1.4,4,0,7,1,9.0
1860-75283,1867-03-13,70,6.589285714285714,1.927840149839952,7.0,0.819047619047619,7,37,2.7189904586026477,0.9824561403508771,1.5260080024622962,3.017543859649123,23,1,107,36,91.0
1860-32310,1867-03-13,30,4.36,1.3555238480489833,5.0,0.9126984126984128,7,16,3.575443786982248,0.9615384615384616,0.7633136094674556,1.9230769230769231,6,0,39,11,36.0
1860-32295,1867-03-13,7,3.25,0.5219436944894316,2.0,1.0,4,4,2.560000000000001,0.8,0.16000000000000006,0.8,2,0,11,6,5.0
1860-36029,1867-03-13,20,4.0,1.2824746787307684,3.0,0.9722222222222222,9,12,5.30859375,0.9375,0.33984375,1.3125,4,0,25,13,25.0
1860-32315,1867-03-13,31,3.269230769230769,0.8099373048133028,6.0,0.645,5,17,2.035665294924554,0.9629629629629629,1.5061728395061724,2.4444444444444446,13,0,32,2,39.0
1860-118111,1867-03-13,32,4.5,0.5261441084969356,10.0,0.5590277777777778,8,17,2.860879904875148,0.9655172413793104,5.560047562425685,4.482758620689655,17,0,60,2,41.0
1860-78590,1867-03-13,61,3.826923076923077,0.6430848506329958,11.0,0.6416666666666667,6,34,2.4336062655749378,0.9811320754716981,4.972588109647562,4.679245283018868,25,0,69,1,80.0
1860-74681,1867-03-13,12,2.0,0.8047189562170503,4.0,0.6458333333333334,4,6,1.89,0.9,0.65,1.5,4,0,11,2,13.0
1860-20140,1867-03-13,52,4.555555555555555,1.8145798809045672,7.0,0.8042735042735043,9,33,3.586483931947069,0.9782608695652174,3.0189035916824203,3.260869565217391,14,0,78,17,68.0
1860-119865,1867-03-13,61,3.6470588235294117,2.34780307338944,7.0,0.6814814814814815,5,33,2.326553254437869,0.9807692307692307,1.862056213017751,3.4423076923076925,25,0,83,28,83.0
1860-53755,1867-03-15,70,4.898305084745763,0.4582830369043377,8.0,0.7482782369146005,11,37,3.416388888888889,0.9833333333333333,2.238888888888889,3.1666666666666665,21,0,82,1,88.0
1860-53764,1867-03-15,30,3.6153846153846154,1.5140127352506654,5.0,0.8112244897959184,7,20,3.887517146776406,0.9629629629629629,1.0150891632373111,2.1481481481481484,5,0,35,10,37.0
1860-80191,1867-03-15,32,3.259259259259259,1.17774948717367,7.0,0.8033333333333333,5,18,2.463010204081633,0.9642857142857143,2.3201530612244894,2.9642857142857144,9,0,40,4,38.0
1860-4842,1867-03-18,60,6.019607843137255,1.2203205152677603,7.0,0.8270676691729324,8,33,3.2880917159763325,0.9807692307692307,1.9985207100591718,3.0384615384615383,14,0,75,8,76.0
1860-52769,1867-03-18,41,4.617647058823529,0.594362340292533,7.0,0.7716666666666667,6,25,2.942040816326531,0.9714285714285714,2.261224489795919,3.2857142857142856,12,0,61,2,51.0
1860-59959,1867-03-18,42,3.212121212121212,0.9428223199424665,8.0,0.7166666666666668,4,18,1.793252595155709,0.9705882352941176,2.761245674740485,4.0588235294117645,17,0,50,2,53.0
1860-71442,1867-03-18,52,5.348837209302325,2.1811284400916606,8.0,0.8111111111111111,6,26,2.113119834710743,0.9772727272727273,2.8305785123966944,3.1818181818181817,20,0,117,51,67.0
1860-52773,1867-03-18,11,1.7777777777777777,1.2690755821534065,4.0,0.7916666666666666,3,6,1.2900000000000003,0.9,0.76,1.8,4,0,12,4,13.0
1860-52771,1867-03-18,32,4.481481481481482,0.5127221657751625,6.0,0.7314814814814814,6,19,2.463010204081633,0.9642857142857143,1.596938775510204,2.7857142857142856,9,0,51,2,39.0
1860-3538,1867-03-18,32,2.68,1.8421791108871608,6.0,0.5742424242424242,5,14,2.03698224852071,0.9615384615384616,1.5576923076923077,2.5,16,0,34,11,40.0
1860-47723,1867-03-18,52,4.239130434782608,1.9785817755573731,7.0,0.9194444444444445,8,29,3.5952919873245817,0.9787234042553191,1.6985061113626077,2.702127659574468,10,0,60,20,68.0
1860-39198,1867-03-18,11,1.625,0.9596780631663814,5.0,0.5833333333333333,3,5,1.2098765432098766,0.8888888888888888,1.3333333333333333,2.0,6,0,11,2,12.0
1860-52630,1867-03-18,12,2.3,0.712612103744054,5.0,0.75,4,7,1.9008264462809914,0.9090909090909091,1.1735537190082643,2.090909090909091,4,0,15,2,13.0
1860-4830,1867-03-18,42,4.111111111111111,1.0849128015740526,7.0,0.8030303030303029,8,25,3.5398100803506214,0.972972972972973,1.5427319211102999,2.5675675675675675,8,0,44,4,54.0
1860-91207,1867-03-18,17,2.642857142857143,1.7361896180732443,4.0,0.86,5,10,2.4622222222222225,0.9333333333333333,0.9155555555555555,1.8666666666666667,5,0,29,15,19.0
