len_group,metric,MannKendall,p,slope
5,MDD,increasing,0.0,2.426006792819022e-05
5,NDD,decreasing,0.0,-1.7443543683115268e-05
5,Height,decreasing,1.8811618929248652e-12,0.0
5,Ratio$_{head-final}$,no trend,0.8269612265225108,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,6.79131333067724e-05
5,degreeMean,no trend,0.05115362423937264,0.0
5,depthVar,decreasing,0.0,-5.65450947130326e-06
5,depthMean,decreasing,2.930988785010413e-14,0.0
5,d$_{head-final}$,decreasing,1.3953279642819894e-08,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,increasing,0.0055361746558115765,0.0
5,d$_{root}$,no trend,0.5850030032442164,0.0
5,d$_{randomTree}$,no trend,0.17708937205973907,0.0
10,MDD,increasing,4.156675004196586e-13,7.39584857642898e-05
10,NDD,decreasing,3.08116344713838e-05,-2.1175808315652815e-05
10,Height,decreasing,0.0010497282121832985,0.0
10,Ratio$_{head-final}$,increasing,0.0101764086524605,0.0
10,treeDegree,increasing,5.568387766441418e-07,0.0
10,#Leaves,increasing,6.550315845288424e-14,0.0
10,degreeVar,increasing,1.204514266106571e-10,6.109419922205298e-05
10,degreeMean,increasing,0.0014821340417703333,0.0
10,depthVar,decreasing,0.0008082304159899856,-7.4521756626847215e-06
10,depthMean,decreasing,0.0009480578501794845,-5.318215499204552e-06
10,d$_{head-final}$,decreasing,0.0005708443777885375,0.0
10,#Crossings,no trend,0.9612269889677203,0.0
10,Height$_{dependency}$,increasing,0.0004732853094417955,0.0
10,d$_{root}$,increasing,0.03125299227420242,0.0
10,d$_{randomTree}$,no trend,0.9939839623819549,0.0
15,MDD,increasing,0.001777875842422505,3.386983148858539e-05
15,NDD,no trend,0.6709005976106956,2.1927487584330204e-06
15,Height,no trend,0.32700255869469164,0.0
15,Ratio$_{head-final}$,no trend,0.3760416874750092,0.0
15,treeDegree,no trend,0.5065099700731701,0.0
15,#Leaves,no trend,0.21005805808689604,0.0
15,degreeVar,no trend,0.44762480763941603,0.0
15,degreeMean,no trend,0.061798703034070535,0.0
15,depthVar,no trend,0.1228569520485232,-8.299514187668266e-06
15,depthMean,no trend,0.07031189011857664,-2.8156245213299084e-06
15,d$_{head-final}$,no trend,0.2594273402136442,0.0
15,#Crossings,no trend,0.4225659593942688,0.0
15,Height$_{dependency}$,no trend,0.07070466970363487,0.0
15,d$_{root}$,increasing,0.03849348661044916,0.0
15,d$_{randomTree}$,no trend,0.7029352129972557,0.0
20,MDD,increasing,0.0030625250709446217,3.36519046978055e-05
20,NDD,no trend,0.18021383263862,-9.17975322241039e-06
20,Height,no trend,0.2660542396983758,0.0
20,Ratio$_{head-final}$,no trend,0.4089689490787607,-1.0602205258693347e-06
