id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.272727272727273,0.7680463631041424,5.0,0.8333333333333334,3,6,1.243055555555556,0.9166666666666666,1.0763888888888888,1.9166666666666667,4,0,16,2,18.0
1860-58646,1867-02-25,16,3.0,1.1512925464970227,4.0,0.6333333333333334,6,10,2.728888888888889,0.9333333333333333,0.64,1.6,5,0,15,6,19.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-30192,1867-02-25,21,4.0,0.3768859011881902,6.0,0.7619047619047619,3,9,1.3494809688581313,0.9411764705882353,1.8961937716262975,2.5294117647058822,8,0,25,2,26.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-17774,1867-02-26,70,5.661016949152542,1.5960434107708377,7.0,0.7916666666666667,10,40,3.583055555555555,0.9833333333333333,1.6955555555555553,2.7333333333333334,22,0,110,13,90.0
1860-109304,1867-02-26,20,2.8666666666666667,1.7194388076484288,5.0,0.6666666666666666,4,8,1.55859375,0.9375,1.08984375,2.3125,8,0,39,16,24.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,8.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,7.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,6.0
1860-103303,1867-02-27,71,5.545454545454546,2.105156210314746,7.0,0.8305137844611529,8,30,3.124681122448979,0.9821428571428571,1.7139668367346939,2.767857142857143,31,0,78,37,91.0
1860-47474,1867-02-27,30,5.208333333333333,0.998898776319663,5.0,0.79375,5,14,2.6784000000000003,0.96,1.1616,2.28,9,0,47,8,37.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,5.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
