len_group,metric,MannKendall,p,slope
5,MDD,increasing,4.440892098500626e-16,2.288329519450803e-05
5,NDD,decreasing,0.0,-1.9804694064881257e-05
5,Height,decreasing,1.2787364500610465e-09,0.0
5,Ratio$_{head-final}$,no trend,0.9061728338761719,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,5.5006598743007805e-05
5,degreeMean,increasing,0.04992492669908044,0.0
5,depthVar,decreasing,0.0,0.0
5,depthMean,decreasing,1.000000082740371e-11,0.0
5,d$_{head-final}$,decreasing,2.5171860373873756e-08,0.0
5,#Crossings,no trend,0.8458825783542023,0.0
5,Height$_{dependency}$,increasing,0.0073546697231017255,0.0
5,d$_{root}$,no trend,0.8629482488527085,0.0
5,d$_{randomTree}$,no trend,0.2810187488117044,0.0
10,MDD,increasing,8.885159274996113e-11,6.500133255203453e-05
10,NDD,decreasing,5.218642879123436e-05,-2.0147642392869844e-05
10,Height,decreasing,0.04029563738344688,0.0
10,Ratio$_{head-final}$,increasing,0.0283903554799092,0.0
10,treeDegree,increasing,5.421423193263664e-06,0.0
10,#Leaves,increasing,3.883271482152395e-11,0.0
10,degreeVar,increasing,2.7183004513986475e-08,4.544307829135488e-05
10,degreeMean,increasing,0.0016066475464531216,0.0
10,depthVar,no trend,0.06275540444082672,-3.099018057948155e-20
10,depthMean,decreasing,0.04918699341380606,0.0
10,d$_{head-final}$,decreasing,0.012498333018369445,0.0
10,#Crossings,no trend,0.0883538874168508,0.0
10,Height$_{dependency}$,increasing,0.0025503009673404353,0.0
10,d$_{root}$,no trend,0.055602871443311,0.0
10,d$_{randomTree}$,no trend,0.5682845596032098,0.0
15,MDD,increasing,0.005377070685104179,3.0154845148783053e-05
15,NDD,no trend,0.8646446010646487,-4.784814140403499e-07
15,Height,no trend,0.8106928518119838,0.0
15,Ratio$_{head-final}$,no trend,0.6923781320071094,0.0
15,treeDegree,no trend,0.6891785992953108,0.0
15,#Leaves,no trend,0.07319040090512074,0.0
15,degreeVar,no trend,0.5390437872255398,0.0
15,degreeMean,no trend,0.0639584472902055,0.0
15,depthVar,no trend,0.9942608354996063,0.0
15,depthMean,no trend,0.6319001766039807,0.0
15,d$_{head-final}$,no trend,0.8922952764389072,0.0
15,#Crossings,no trend,0.10183744107417869,0.0
15,Height$_{dependency}$,increasing,0.03231530205803712,0.0
15,d$_{root}$,no trend,0.1609733106976723,0.0
15,d$_{randomTree}$,no trend,0.7255951649166648,0.0
20,MDD,increasing,0.008173853043454082,3.045808966861685e-05
20,NDD,decreasing,0.012138076190665092,-1.6881444854147785e-05
20,Height,no trend,0.12413763586905024,0.0
20,Ratio$_{head-final}$,decreasing,0.014820476899044754,-4.213749119371692e-06
20,treeDegree,decreasing,0.0012383098938326675,0.0
20,#Leaves,no trend,0.11199303982806641,0.0
20,degreeVar,decreasing,0.003978151559504539,-2.4655114152996013e-05
20,degreeMean,no trend,0.6309709060832185,0.0
20,depthVar,no trend,0.3093651670499997,7.264334554132499e-06
20,depthMean,increasing,0.014815323470978026,1.2650221378874168e-05
20,d$_{head-final}$,no trend,0.4280343417286434,0.0
20,#Crossings,decreasing,0.03587513686894561,0.0
20,Height$_{dependency}$,increasing,0.02808257572208528,0.0
20,d$_{root}$,no trend,0.35569042183914856,0.0
20,d$_{randomTree}$,no trend,0.812110436913609,0.0
30,MDD,no trend,0.1637239069957066,1.7162667765077343e-05
30,NDD,decreasing,0.0016303919721554205,-2.4405373473643292e-05
30,Height,increasing,0.0009685707759470308,0.0
30,Ratio$_{head-final}$,decreasing,2.2047275782810516e-07,-7.460116841145521e-06
30,treeDegree,decreasing,5.3634968453231124e-06,0.0
30,#Leaves,decreasing,0.0028059262179436217,0.0
30,degreeVar,decreasing,3.506197110425546e-08,-5.229023790798758e-05
30,degreeMean,no trend,0.4270816172634344,0.0
30,depthVar,increasing,0.0023785206706103956,3.397190555492455e-05
30,depthMean,increasing,1.0768224001367344e-07,3.9186047024696705e-05
30,d$_{head-final}$,increasing,1.4516515998153068e-06,0.0
30,#Crossings,no trend,0.953847421448337,0.0
30,Height$_{dependency}$,increasing,0.046635908788503766,0.0
30,d$_{root}$,decreasing,0.010342098153331758,0.0
30,d$_{randomTree}$,no trend,0.7558787687187485,0.0
40,MDD,increasing,0.0007749721133636367,4.290004290004307e-05
40,NDD,no trend,0.2014705725864303,-1.0858503309265376e-05
40,Height,no trend,0.11712069246733892,0.0
40,Ratio$_{head-final}$,decreasing,1.6820322912280972e-11,-8.461773037318446e-06
40,treeDegree,decreasing,6.128431095930864e-14,0.0
40,#Leaves,decreasing,8.289471331579534e-10,0.0
40,degreeVar,decreasing,1.4550582960737302e-12,-6.388245628044376e-05
40,degreeMean,decreasing,0.0009914274456646055,0.0
40,depthVar,no trend,0.05681174806778677,2.570965724025201e-05
40,depthMean,increasing,6.30022155412302e-05,3.322700691121749e-05
40,d$_{head-final}$,increasing,7.853895311882297e-11,0.0
40,#Crossings,no trend,0.1588957526183692,0.0
40,Height$_{dependency}$,increasing,7.906133900004164e-06,0.0007189072609633358
40,d$_{root}$,no trend,0.888107831482446,0.0
40,d$_{randomTree}$,no trend,0.5708155607209164,0.0
