id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.090909090909091,0.8514279720431936,5.0,0.75,3,6,1.243055555555556,0.9166666666666666,1.0763888888888888,1.9166666666666667,6,0,16,2,18.0
1860-30192,1867-02-25,21,3.0625,0.6439486864372352,6.0,0.6666666666666666,3,9,1.3494809688581313,0.9411764705882353,2.2975778546712804,3.235294117647059,9,0,25,2,27.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,3.0
1860-58646,1867-02-25,16,2.5714285714285716,1.305443226324281,4.0,0.5900000000000001,5,10,2.4622222222222225,0.9333333333333333,0.7288888888888891,1.7333333333333334,7,0,15,6,20.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-109304,1867-02-26,20,3.3333333333333335,1.5686159179138452,5.0,0.6238095238095239,5,8,1.93359375,0.9375,0.90234375,2.1875,7,0,43,16,24.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,7.0
1860-17774,1867-02-26,70,6.067796610169491,1.526651417346838,7.0,0.8161375661375662,10,41,3.6830555555555557,0.9833333333333333,1.7030555555555555,2.716666666666667,19,0,110,13,92.0
1860-103298,1867-02-27,40,6.472222222222222,0.9776602120524397,6.0,0.8424242424242423,5,26,2.8371073776479183,0.972972972972973,2.0745069393718047,3.081081081081081,10,0,79,8,48.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
