len_group,metric,MannKendall,p,slope
5,MDD,increasing,2.220446049250313e-16,2.308802378030469e-05
5,NDD,decreasing,0.0,-1.78347555898765e-05
5,Height,decreasing,1.880540168031075e-11,0.0
5,Ratio$_{head-final}$,no trend,0.7752070468235561,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,6.326880779147196e-05
5,degreeMean,increasing,0.04874224405993366,0.0
5,depthVar,decreasing,0.0,-2.648655807177808e-06
5,depthMean,decreasing,6.306066779870889e-14,0.0
5,d$_{head-final}$,decreasing,2.434156791242259e-06,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,increasing,0.009630248468026181,0.0
5,d$_{root}$,no trend,0.8139683149073205,0.0
5,d$_{randomTree}$,no trend,0.18257395093823492,0.0
10,MDD,increasing,1.685995787426009e-09,5.8685446009389724e-05
10,NDD,decreasing,2.5176445688002147e-05,-2.062675369501804e-05
10,Height,no trend,0.4856292404539022,0.0
10,Ratio$_{head-final}$,no trend,0.13015313508474602,0.0
10,treeDegree,increasing,0.0023820423059739415,0.0
10,#Leaves,increasing,1.4710609841372957e-08,0.0
10,degreeVar,increasing,7.499026642987516e-06,2.3869840080946523e-05
10,degreeMean,increasing,0.0015987670892856354,0.0
10,depthVar,no trend,0.36473375417358467,0.0
10,depthMean,no trend,0.1511327356982053,0.0
10,d$_{head-final}$,decreasing,0.004708478965034013,0.0
10,#Crossings,decreasing,0.02463752854855139,0.0
10,Height$_{dependency}$,increasing,0.004545525368390146,0.0
10,d$_{root}$,no trend,0.26596237871305006,0.0
10,d$_{randomTree}$,no trend,0.6800739544424224,0.0
15,MDD,increasing,0.009234042633766926,2.7345939816698785e-05
15,NDD,no trend,0.7937592486844878,-1.0410211862466338e-06
15,Height,no trend,0.935066954990492,0.0
15,Ratio$_{head-final}$,no trend,0.6249213292370333,0.0
15,treeDegree,no trend,0.29949941327235674,0.0
15,#Leaves,no trend,0.221133293244538,0.0
15,degreeVar,no trend,0.9294417348737358,0.0
15,degreeMean,no trend,0.05982345569628067,0.0
15,depthVar,no trend,0.907637602091804,0.0
15,depthMean,no trend,0.9761311538963422,0.0
15,d$_{head-final}$,no trend,0.31265847503526745,0.0
15,#Crossings,decreasing,0.041528162486013764,0.0
15,Height$_{dependency}$,no trend,0.08084237570173425,0.0
15,d$_{root}$,no trend,0.25356464801804135,0.0
15,d$_{randomTree}$,no trend,0.7900432865231728,0.0
20,MDD,increasing,0.012028298603802945,2.7917364600781587e-05
20,NDD,no trend,0.05851783799147925,-1.2741995419154951e-05
20,Height,no trend,0.9509257043855286,0.0
20,Ratio$_{head-final}$,no trend,0.4824536028819204,-6.417661404183694e-07
20,treeDegree,decreasing,0.006195480387756858,0.0
20,#Leaves,decreasing,0.01999303194649471,0.0
20,degreeVar,decreasing,0.016893988223854794,-1.6041191703952393e-05
20,degreeMean,no trend,0.5312050964020669,0.0
20,depthVar,no trend,0.32279903885866723,-8.456228883104747e-06
20,depthMean,no trend,0.87579325105101,0.0
20,d$_{head-final}$,no trend,0.5056341721014965,0.0
20,#Crossings,decreasing,0.006287487612015363,0.0
20,Height$_{dependency}$,no trend,0.3878955574496046,0.0
20,d$_{root}$,no trend,0.7322320463749263,0.0
20,d$_{randomTree}$,no trend,0.5744474202403576,0.0
30,MDD,no trend,0.1763730647323316,1.5827793605571222e-05
30,NDD,decreasing,0.03071603510252463,-1.689810685865767e-05
30,Height,increasing,6.489668119247227e-05,0.0
30,Ratio$_{head-final}$,decreasing,4.004774329735561e-05,-5.799387241822281e-06
30,treeDegree,decreasing,2.632901360266615e-06,0.0
30,#Leaves,decreasing,0.000481396613376317,0.0
30,degreeVar,decreasing,1.970434468256954e-06,-4.3919246303027044e-05
30,degreeMean,no trend,0.33412573686645297,0.0
30,depthVar,increasing,0.0001786228996305539,4.975443076859786e-05
30,depthMean,increasing,1.2640633983984628e-07,4.301024755144792e-05
30,d$_{head-final}$,increasing,3.699868345474755e-06,0.0
30,#Crossings,no trend,0.7163947207694661,0.0
30,Height$_{dependency}$,increasing,0.0020235324262702914,0.00034578146611341634
30,d$_{root}$,no trend,0.0871541473633426,0.0
30,d$_{randomTree}$,no trend,0.7114234845121346,0.0
40,MDD,increasing,0.00034593799676563286,4.443350696580693e-05
40,NDD,no trend,0.20595219040199764,-1.0702424480371234e-05
40,Height,increasing,0.0011920371885456582,0.0
40,Ratio$_{head-final}$,decreasing,3.874611742560319e-11,-8.386202873185987e-06
40,treeDegree,decreasing,2.456096908076688e-07,0.0
40,#Leaves,decreasing,6.019629239517599e-13,0.0
40,degreeVar,decreasing,8.629732484166652e-10,-5.590594838906339e-05
40,degreeMean,decreasing,0.0032183977137791864,0.0
40,depthVar,increasing,0.002412534470128236,5.0014060155729396e-05
40,depthMean,increasing,4.3978136990086014e-05,3.836407705867543e-05
40,d$_{head-final}$,increasing,6.730305202040654e-11,0.0
40,#Crossings,no trend,0.2775177877225503,0.0
40,Height$_{dependency}$,increasing,2.8407444063738296e-07,0.0008267879288962381
40,d$_{root}$,no trend,0.9848534451822148,0.0
40,d$_{randomTree}$,no trend,0.7880953973727289,0.0
50,MDD,increasing,0.004452731002795529,3.753661777112542e-05
50,NDD,no trend,0.7353387469349175,-3.0954444905989254e-06
50,Height,increasing,0.0013873352231292824,0.0
50,Ratio$_{head-final}$,decreasing,4.072298054325074e-13,-8.678571366295826e-06
50,treeDegree,decreasing,5.051724261129209e-08,0.0
50,#Leaves,decreasing,1.2136958105202211e-12,0.0
50,degreeVar,decreasing,4.6874726322698734e-11,-6.01695210372277e-05
50,degreeMean,decreasing,7.639478882648376e-05,0.0
50,depthVar,increasing,0.009504509655802185,5.1928233380061805e-05
50,depthMean,increasing,1.1103634566467235e-05,4.738266519719053e-05
50,d$_{head-final}$,increasing,2.3502977342104714e-11,0.0
50,#Crossings,no trend,0.10365217092852519,0.0
50,Height$_{dependency}$,increasing,1.4846845972638079e-06,0.0009086778736937755
50,d$_{root}$,no trend,0.5365108944569923,0.0
50,d$_{randomTree}$,no trend,0.12103606246226661,0.0
60,MDD,increasing,0.0324380415035892,3.0104961297621513e-05
60,NDD,no trend,0.3389187381748071,-9.68989788433942e-06
60,Height,increasing,9.6580367703325e-07,0.0
60,Ratio$_{head-final}$,decreasing,0.0,-1.2609241597688806e-05
60,treeDegree,decreasing,4.739542092124793e-11,0.0
60,#Leaves,decreasing,0.0,0.0
60,degreeVar,decreasing,0.0,-8.060290976504256e-05
60,degreeMean,decreasing,1.7186753920039877e-06,0.0
60,depthVar,increasing,1.8454719308280687e-06,0.00010994829025466075
60,depthMean,increasing,4.1878056578070755e-11,7.81427812760789e-05
60,d$_{head-final}$,increasing,0.0,0.0005790387955993051
60,#Crossings,no trend,0.8830317287644054,0.0
60,Height$_{dependency}$,increasing,1.1180907111274507e-07,0.0011013215859030838
60,d$_{root}$,no trend,0.6216590743604102,0.0
60,d$_{randomTree}$,no trend,0.27136181168469875,0.0
70,MDD,no trend,0.19036138169897798,2.0017863398439297e-05
70,NDD,no trend,0.32474683729627696,-1.1087281725566799e-05
70,Height,increasing,0.0002041915454908949,0.0
70,Ratio$_{head-final}$,decreasing,0.0,-1.4652934773507609e-05
70,treeDegree,decreasing,3.0587141708338095e-09,0.0
70,#Leaves,decreasing,0.0,-0.0004553734061930783
70,degreeVar,decreasing,0.0,-8.650785263742635e-05
70,degreeMean,decreasing,1.701857240021809e-06,0.0
70,depthVar,increasing,0.00013117007975704809,9.887216304159797e-05
70,depthMean,increasing,6.539668806482268e-10,7.992849901822668e-05
70,d$_{head-final}$,increasing,0.0,0.0008488964346349745
70,#Crossings,no trend,0.10188631248220781,0.0
70,Height$_{dependency}$,increasing,0.03791678639022722,0.00036859565057132326
70,d$_{root}$,no trend,0.5270065067798713,0.0
70,d$_{randomTree}$,no trend,0.779787658228688,0.0
