id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-58620,1867-02-25,15,2.0,0.8958797346140274,6.0,0.8055555555555555,3,6,1.243055555555556,0.9166666666666666,1.9166666666666667,2.5,6,0,16,2,19.0
1860-58646,1867-02-25,16,2.5714285714285716,1.305443226324281,4.0,0.5900000000000001,5,10,2.4622222222222225,0.9333333333333333,0.7288888888888891,1.7333333333333334,7,0,15,6,18.0
1860-30194,1867-02-25,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-30192,1867-02-25,21,3.3125,0.5654770709957401,6.0,0.738095238095238,3,9,1.3494809688581313,0.9411764705882353,2.2975778546712804,3.235294117647059,9,0,25,2,27.0
1860-33293,1867-02-25,7,2.6,0.8362480242006186,3.0,1.0,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,11,6,5.0
1860-17774,1867-02-26,70,4.627118644067797,1.7977126085625785,9.0,0.7969135802469136,9,41,3.283055555555556,0.9833333333333333,3.5763888888888897,3.5833333333333335,21,4,83,13,92.0
1860-109304,1867-02-26,20,2.8666666666666667,1.7194388076484288,5.0,0.6666666666666666,4,8,1.55859375,0.9375,1.08984375,2.3125,8,0,39,16,24.0
1860-34495,1867-02-26,7,1.6,1.2305950615853423,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,9,5,8.0
1860-19154,1867-02-27,6,1.25,1.1308815492368953,3.0,0.8333333333333334,2,2,0.56,0.8,0.56,1.2,2,0,6,3,7.0
1860-101040,1867-02-27,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,6.0
1860-103303,1867-02-27,71,4.818181818181818,2.2457381609359355,7.0,0.74875,8,30,3.017538265306122,0.9821428571428571,1.4323979591836735,2.8214285714285716,28,0,78,37,90.0
1860-47474,1867-02-27,30,5.75,0.8999588284647593,5.0,0.7,8,15,3.7983999999999996,0.96,0.8735999999999998,2.08,7,0,51,8,38.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,5.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
1860-103298,1867-02-27,40,3.5142857142857142,1.574643946184969,6.0,0.8166666666666665,6,23,2.638117283950618,0.9722222222222222,1.617283950617284,2.7777777777777777,12,0,51,8,50.0
1860-99357,1867-02-27,11,2.25,0.6342556627317535,4.0,0.8125,4,5,1.654320987654321,0.8888888888888888,0.6913580246913581,1.4444444444444444,2,0,13,2,12.0
1860-87355,1867-02-28,62,3.963636363636364,1.7341262564790663,9.0,0.8718487394957983,9,39,4.053252551020408,0.9821428571428571,4.198660714285714,3.625,13,0,71,9,77.0
1860-66466,1867-02-28,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-34969,1867-02-28,32,4.862068965517241,1.4016093091701518,6.0,0.856060606060606,8,19,3.098888888888887,0.9666666666666667,1.36,2.2,8,0,43,13,39.0
1860-39111,1867-02-28,60,4.9423076923076925,0.9366197347963233,6.0,0.6749373433583961,7,34,2.999644001423995,0.9811320754716981,1.4204343182627266,2.7735849056603774,18,0,69,3,78.0
1860-16007,1867-02-28,12,1.7777777777777777,1.5488834761211177,4.0,0.5416666666666666,4,6,1.89,0.9,0.65,1.5,4,0,13,7,13.0
