len_group,metric,MannKendall,p,slope
5,MDD,increasing,1.509903313490213e-14,0.0
5,NDD,decreasing,8.881784197001252e-16,-1.3792301278876087e-05
5,Height,decreasing,6.036253719088336e-10,0.0
5,Ratio$_{head-final}$,no trend,0.8798581947710988,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,5.800637781913645e-05
5,degreeMean,increasing,0.042999647992199685,0.0
5,depthVar,decreasing,0.0,-1.4124974868004537e-19
5,depthMean,decreasing,3.4305891460917337e-13,0.0
5,d$_{head-final}$,decreasing,1.05992139047828e-05,0.0
5,#Crossings,no trend,0.1331441000754734,0.0
5,Height$_{dependency}$,increasing,0.01632837640299467,0.0
5,d$_{root}$,no trend,0.8422507024127093,0.0
5,d$_{randomTree}$,no trend,0.12078620554415553,0.0
10,MDD,increasing,2.4771704687509555e-09,5.696058327637273e-05
10,NDD,decreasing,0.00015811085427519522,-1.8665584162303496e-05
10,Height,no trend,0.3718666340343977,0.0
10,Ratio$_{head-final}$,increasing,0.02328927734732944,0.0
10,treeDegree,increasing,2.1248329113099373e-05,0.0
10,#Leaves,increasing,8.08950240127615e-09,0.0
10,degreeVar,increasing,6.664461940086852e-07,3.466441468612991e-05
10,degreeMean,increasing,0.0016634608517436256,0.0
10,depthVar,no trend,0.11719611725734325,0.0
10,depthMean,decreasing,0.028543766595182873,0.0
10,d$_{head-final}$,decreasing,0.019316281709174543,0.0
10,#Crossings,no trend,0.19016335205205448,0.0
10,Height$_{dependency}$,increasing,0.0015150647888009239,0.0
10,d$_{root}$,no trend,0.12722827475815723,0.0
10,d$_{randomTree}$,no trend,0.8323402353930973,0.0
15,MDD,increasing,0.0007959460680244668,3.62030265730216e-05
15,NDD,no trend,0.9118877653572883,-5.7582658712096414e-08
15,Height,no trend,0.18749656272143134,0.0
15,Ratio$_{head-final}$,no trend,0.2329861665556079,1.5084551965015713e-19
15,treeDegree,no trend,0.5212451003937011,0.0
15,#Leaves,no trend,0.18247164742121802,0.0
15,degreeVar,no trend,0.4217240436051721,0.0
15,degreeMean,no trend,0.06671930016855954,0.0
15,depthVar,no trend,0.18356740235661162,-6.599415342845823e-06
15,depthMean,no trend,0.23068011663362098,0.0
15,d$_{head-final}$,no trend,0.14800982517868433,0.0
15,#Crossings,no trend,0.21121487679414663,0.0
15,Height$_{dependency}$,increasing,0.018037863731825476,0.0
15,d$_{root}$,no trend,0.07326455357587669,0.0
15,d$_{randomTree}$,no trend,0.7811836283510833,0.0
20,MDD,increasing,0.009726502440809304,2.9535117254415396e-05
20,NDD,decreasing,0.016464142906295942,-1.6022265434821258e-05
20,Height,no trend,0.45134301899195917,0.0
20,Ratio$_{head-final}$,no trend,0.3935454473414328,-1.0438195444771227e-06
20,treeDegree,decreasing,0.013130982931354396,0.0
20,#Leaves,no trend,0.13724606578418896,0.0
20,degreeVar,decreasing,0.045997179251013876,-1.1964051714953452e-05
20,degreeMean,no trend,0.6607954676486074,0.0
20,depthVar,no trend,0.7984204256679035,-7.248046566919734e-07
20,depthMean,no trend,0.37394381266480137,0.0
20,d$_{head-final}$,no trend,0.522588779671626,0.0
20,#Crossings,decreasing,0.03229570004648963,0.0
20,Height$_{dependency}$,no trend,0.09036273367013603,0.0
20,d$_{root}$,no trend,0.4720104531277016,0.0
20,d$_{randomTree}$,no trend,0.5527086136331729,0.0
30,MDD,no trend,0.05037126562885175,2.3654082694673152e-05
30,NDD,decreasing,0.002198926138621715,-2.35785144479218e-05
30,Height,increasing,0.0012147282965115913,0.0
30,Ratio$_{head-final}$,decreasing,7.593311598230734e-05,-5.333674688513406e-06
30,treeDegree,decreasing,2.2383739646691936e-05,0.0
30,#Leaves,decreasing,0.0007269084008518778,0.0
30,degreeVar,decreasing,9.703605227562306e-06,-4.198536075087494e-05
30,degreeMean,no trend,0.36632892641571724,0.0
30,depthVar,increasing,0.003700405232505588,3.504091798680143e-05
30,depthMean,increasing,2.0446609625413004e-06,3.666495563540372e-05
30,d$_{head-final}$,increasing,0.0003143989826492888,0.0
30,#Crossings,no trend,0.4623427627951602,0.0
30,Height$_{dependency}$,increasing,0.002909261172830968,0.0
30,d$_{root}$,decreasing,0.028652724706665023,0.0
30,d$_{randomTree}$,no trend,0.9802871957003614,0.0
40,MDD,increasing,0.00043567620609441526,4.389972832565134e-05
40,NDD,no trend,0.2177388636551023,-1.0228684393202813e-05
40,Height,no trend,0.07604918598192856,0.0
40,Ratio$_{head-final}$,decreasing,1.9147390339924186e-09,-7.193910702682369e-06
40,treeDegree,decreasing,3.4994369557672655e-07,0.0
40,#Leaves,decreasing,2.191802295214984e-12,0.0
40,degreeVar,decreasing,1.1840178726352235e-07,-4.8066184810837014e-05
40,degreeMean,decreasing,0.0008586390458529269,0.0
40,depthVar,increasing,0.017629383989060665,3.658680099625717e-05
40,depthMean,increasing,6.597445452460882e-05,3.6204337279606094e-05
40,d$_{head-final}$,increasing,4.102130317207298e-06,0.0
40,#Crossings,no trend,0.5118256418354556,0.0
40,Height$_{dependency}$,increasing,4.200639433626918e-06,0.0006369426751592356
40,d$_{root}$,no trend,0.880493823608927,0.0
40,d$_{randomTree}$,no trend,0.7269178094305289,0.0
50,MDD,increasing,6.173364828465644e-05,5.0135074816455345e-05
50,NDD,no trend,0.9213641113560951,8.358942891132812e-07
50,Height,no trend,0.24184903324570017,0.0
50,Ratio$_{head-final}$,decreasing,5.007327885664381e-11,-7.121284685174494e-06
50,treeDegree,decreasing,1.9882083966749065e-05,0.0
50,#Leaves,decreasing,1.7763568394002505e-13,0.0
50,degreeVar,decreasing,6.317847844883318e-08,-4.6130482614621126e-05
50,degreeMean,decreasing,2.470893658790274e-06,0.0
50,depthVar,no trend,0.2613657445981792,2.182146340450597e-05
50,depthMean,increasing,0.00501587174974083,2.918553938926469e-05
50,d$_{head-final}$,increasing,1.5824627164207072e-08,0.0
50,#Crossings,no trend,0.24747001325677642,0.0
50,Height$_{dependency}$,increasing,3.686670657643276e-08,0.0009090909090909091
50,d$_{root}$,no trend,0.12043834474371562,0.0
50,d$_{randomTree}$,no trend,0.3085528720828874,0.0
60,MDD,increasing,7.455285238822107e-05,4.755021302495445e-05
60,NDD,decreasing,0.0450998722202538,-1.780895701120571e-05
60,Height,no trend,0.44384351818385115,0.0
60,Ratio$_{head-final}$,decreasing,0.0,-9.08220178661715e-06
60,treeDegree,decreasing,3.143640903147116e-11,0.0
60,#Leaves,decreasing,0.0,0.0
60,degreeVar,decreasing,0.0,-6.778856535829506e-05
60,degreeMean,decreasing,1.3750595551087486e-07,0.0
60,depthVar,no trend,0.8504719346262366,4.6259059994916835e-06
60,depthMean,no trend,0.22884123518448396,1.4842300556585006e-05
60,d$_{head-final}$,increasing,1.740316348808335e-07,0.0
60,#Crossings,no trend,0.6322967848962373,0.0
60,Height$_{dependency}$,increasing,1.3807813159516513e-07,0.0008598452278589854
60,d$_{root}$,no trend,0.4922253075088596,0.0
