len_group,metric,MannKendall,p,slope
5,MDD,increasing,2.220446049250313e-16,1.9685039370078756e-05
5,NDD,decreasing,0.0,-1.8336323643895987e-05
5,Height,decreasing,9.492939767596908e-11,0.0
5,Ratio$_{head-final}$,no trend,0.43210766376370957,0.0
5,treeDegree,increasing,0.0,0.0
5,#Leaves,increasing,0.0,0.0
5,degreeVar,increasing,0.0,5.924932459162527e-05
5,degreeMean,increasing,0.03445724181259102,0.0
5,depthVar,decreasing,0.0,-5.271714266976052e-20
5,depthMean,decreasing,3.270939075150636e-12,0.0
5,d$_{head-final}$,decreasing,0.00014878313838262436,0.0
5,#Crossings,no trend,0.18063798193080038,0.0
5,Height$_{dependency}$,increasing,0.01210060332228391,0.0
5,d$_{root}$,no trend,0.8962417359879464,0.0
5,d$_{randomTree}$,no trend,0.9190546671031663,0.0
10,MDD,increasing,3.2886289247358036e-09,5.9573454068867074e-05
10,NDD,decreasing,0.0001683064544146795,-1.928708234653723e-05
10,Height,no trend,0.6402106829568881,0.0
10,Ratio$_{head-final}$,no trend,0.11594540196476388,0.0
10,treeDegree,increasing,0.0009040810570744018,0.0
10,#Leaves,increasing,2.9677913460091077e-09,0.0
10,degreeVar,increasing,8.188099666073256e-06,2.5815143678680457e-05
10,degreeMean,increasing,0.0005665063237856316,0.0
10,depthVar,no trend,0.9875005010821485,0.0
10,depthMean,no trend,0.5261235526930466,0.0
10,d$_{head-final}$,no trend,0.11419130155866553,0.0
10,#Crossings,no trend,0.07613748954339328,0.0
10,Height$_{dependency}$,increasing,0.0005987695017213301,0.0
10,d$_{root}$,no trend,0.12945367951461062,0.0
10,d$_{randomTree}$,no trend,0.9226098033015879,0.0
15,MDD,increasing,0.0164662860221636,2.6513946335772523e-05
15,NDD,no trend,0.891570734607102,3.1324869253974845e-07
15,Height,no trend,0.8220971449206875,0.0
15,Ratio$_{head-final}$,no trend,0.8846696517661585,0.0
15,treeDegree,no trend,0.5956000347815209,0.0
15,#Leaves,no trend,0.06599939081512107,0.0
15,degreeVar,no trend,0.8241152167530721,0.0
15,degreeMean,increasing,0.013531486185707209,0.0
15,depthVar,no trend,0.9943685539785125,0.0
15,depthMean,no trend,0.521424117477812,0.0
15,d$_{head-final}$,no trend,0.32118342477349593,0.0
