id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-27521,1860-01-26,51,3.8666666666666667,0.9085014790803108,7.0,0.6696078431372549,6,28,2.7169187145557645,0.9782608695652174,2.2098298676748582,2.9130434782608696,25,1,52,2,65.0
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,4,2.359375,0.875,0.4375,1.25,5,0,13,6,11.0
1860-156797,1860-01-30,31,3.0714285714285716,1.4573848635289606,8.0,0.6183333333333334,5,19,2.3781212841854926,0.9655172413793104,4.130796670630202,3.7241379310344827,14,0,44,6,40.0
1860-38786,1860-01-31,70,2.75,1.8803116794863888,16.0,0.7201814058956916,7,44,2.907455621301775,0.9846153846153847,15.767100591715975,7.953846153846154,32,1,70,5,93.0
1860-38878,1860-01-31,32,3.0689655172413794,1.5522132256130685,5.0,0.8297619047619047,7,20,3.2322222222222203,0.9666666666666667,1.2100000000000002,2.3,8,0,33,7,38.0
1860-45992,1860-01-31,51,2.8,1.5778484616233346,13.0,0.6158333333333333,6,26,2.064744801512287,0.9782608695652174,10.4617202268431,5.195652173913044,28,3,52,4,65.0
1860-153737,1860-01-31,11,2.0,1.0074515102711326,4.0,0.6666666666666666,3,7,1.89,0.9,0.96,1.8,4,0,13,3,14.0
1860-52388,1860-02-03,72,3.0303030303030303,2.4659031747570923,10.0,0.7072463768115942,6,44,2.5221652929382943,0.9850746268656716,4.966362218756961,4.492537313432836,32,1,74,19,95.0
1860-173176,1860-02-03,30,2.75,1.221353147648812,9.0,0.6944444444444444,5,20,2.378121284185492,0.9655172413793104,4.556480380499406,4.172413793103448,13,0,39,3,37.0
1860-173134,1860-02-03,62,3.4,1.3382065580795137,7.0,0.7288220551378446,7,37,2.874681122448979,0.9821428571428571,2.3966836734693877,3.1785714285714284,30,1,64,3,80.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,18.0
1860-111485,1860-02-03,52,3.4468085106382977,1.5940315065456474,9.0,0.7934173669467787,7,30,2.978732638888889,0.9791666666666666,3.853732638888889,3.3541666666666665,20,0,55,6,67.0
1860-195200,1860-02-03,40,3.142857142857143,1.619582239452709,7.0,0.75,6,22,2.693672839506173,0.9722222222222222,1.8233024691358029,2.6944444444444446,19,0,46,7,52.0
1860-176802,1860-02-07,31,2.7586206896551726,1.2351740304777248,6.0,0.6818181818181818,6,19,2.2988888888888876,0.9666666666666667,1.498888888888889,2.6333333333333333,14,0,32,3,39.0
1860-25775,1860-02-07,70,3.816666666666667,1.0626330810344893,9.0,0.7294871794871794,6,33,2.0489115829078206,0.9836065573770492,2.310131685030905,3.5737704918032787,38,2,71,2,90.0
1860-175354,1860-02-09,71,3.4923076923076923,1.8172196979551039,11.0,0.6153333333333333,6,41,2.4694674012855833,0.9848484848484849,5.696051423324151,4.696969696969697,62,5,71,7,88.0
1860-143818,1860-02-09,7,2.25,0.889668474614749,3.0,1.0,3,2,1.3600000000000005,0.8,0.4,1.0,4,0,11,6,6.0
1860-109679,1860-02-09,12,2.3,0.712612103744054,5.0,0.7666666666666666,3,6,1.355371900826446,0.9090909090909091,1.2727272727272727,2.0,4,0,15,2,13.0
1860-129278,1860-02-13,71,3.15625,1.9107640954339424,10.0,0.6188492063492064,7,41,2.8459171597633133,0.9846153846153847,4.2546745562130175,3.7384615384615385,32,0,70,7,92.0
1860-129213,1860-02-13,62,3.0714285714285716,2.1418361727329716,8.0,0.7531746031746032,5,36,2.333025546321945,0.9824561403508771,2.6500461680517082,3.263157894736842,25,0,68,12,79.0
1860-103658,1860-02-13,62,3.9622641509433962,1.166982550450845,6.0,0.6712962962962963,5,35,2.3144718792866943,0.9814814814814815,1.0521262002743486,2.8518518518518516,24,0,64,3,80.0
1860-24889,1860-02-14,70,3.3870967741935485,2.002886764020412,8.0,0.7198412698412697,6,42,2.618795666414715,0.9841269841269841,2.3587805492567395,3.365079365079365,27,0,70,10,93.0
1860-144442,1860-02-16,16,2.0,1.5222612188617115,5.0,0.7083333333333334,4,8,1.9234693877551017,0.9285714285714286,1.6326530612244896,2.2857142857142856,8,0,17,6,20.0
1860-120033,1860-02-16,52,4.4,0.7792897476003046,6.0,0.7229166666666667,5,30,2.3256143667296776,0.9782608695652174,1.7055765595463135,3.108695652173913,41,1,89,2,67.0
1860-47427,1860-02-16,41,2.5675675675675675,1.8487891754345331,10.0,0.6488888888888888,5,23,2.07825484764543,0.9736842105263158,5.551939058171745,4.973684210526316,20,1,43,7,53.0
1860-186172,1860-02-16,51,4.088888888888889,1.0553535747399365,6.0,0.7976190476190476,6,31,3.2821361058601126,0.9782608695652174,1.1762759924385633,2.6739130434782608,20,1,56,3,67.0
1860-186173,1860-02-16,71,3.876923076923077,1.6356652880114542,7.0,0.7576086956521739,8,43,2.863406795224977,0.9848484848484849,1.7118916437098255,2.984848484848485,26,0,75,6,92.0
1860-157189,1860-02-17,7,1.8,0.8573992140459632,3.0,0.8333333333333333,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,8,3,7.0
1860-163678,1860-02-17,10,1.875,0.4700036292457356,4.0,0.5416666666666666,3,5,1.2098765432098766,0.8888888888888888,0.8395061728395062,1.7777777777777777,5,0,9,1,11.0
1860-157319,1860-02-17,62,3.5576923076923075,1.9584871751731638,6.0,0.7330827067669172,7,33,2.320398718405126,0.9811320754716981,1.4304022783908865,2.7547169811320753,24,0,64,12,79.0
1860-120501,1860-02-17,51,2.875,1.583004655365945,9.0,0.6722222222222222,5,31,2.060807996668055,0.9795918367346939,4.867971678467305,4.224489795918367,23,1,52,4,67.0
1860-120504,1860-02-17,16,2.0714285714285716,1.1750927445139443,5.0,0.7916666666666666,4,9,1.9288888888888895,0.9333333333333333,1.1555555555555557,2.3333333333333335,6,0,17,3,21.0
1860-157307,1860-02-17,31,3.5185185185185186,1.4477830003313081,5.0,0.6845238095238095,7,18,2.677295918367347,0.9642857142857143,0.9234693877551019,2.0714285714285716,14,2,31,8,39.0
1860-54684,1860-02-20,10,3.3333333333333335,0.8675945588698303,3.0,1.0,5,4,2.979591836734694,0.8571428571428571,0.2857142857142857,1.0,6,0,17,9,12.0
1860-182017,1860-02-20,20,2.4444444444444446,1.5513566880887804,5.0,0.7857142857142857,3,12,1.6288088642659282,0.9473684210526315,1.1911357340720223,2.4210526315789473,7,0,22,7,24.0
1860-182071,1860-02-20,62,3.1818181818181817,1.5483702372364767,9.0,0.7159090909090908,6,34,2.267538265306123,0.9821428571428571,2.9323979591836737,3.3214285714285716,31,0,62,4,82.0
1860-181966,1860-02-20,50,2.911111111111111,1.7416655994277432,9.0,0.7170138888888888,9,30,3.195179584120982,0.9782608695652174,6.03780718336484,3.6956521739130435,18,0,52,6,63.0
1860-114441,1860-02-20,7,1.8,1.0012402502718536,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,7,4,5.0
1860-182009,1860-02-20,6,1.75,0.9382503488415728,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.4,1.0,3,0,7,4,7.0
1860-42205,1860-02-21,70,3.380952380952381,1.8342391768896003,9.0,0.7072463768115942,6,40,2.359130859375,0.984375,3.71484375,3.6875,34,2,71,7,92.0
1860-168492,1860-02-21,6,1.5,0.9485599924429406,3.0,0.5,2,2,0.56,0.8,0.56,1.2,3,0,6,3,6.0
1860-26901,1860-02-21,17,2.357142857142857,1.392454603313911,5.0,0.72,5,10,2.4622222222222225,0.9333333333333333,0.9599999999999999,1.8,5,0,20,6,18.0
1860-153125,1860-02-21,5,2.0,0.6931471805599453,2.0,1.0,3,3,1.6875,0.75,0.1875,0.75,2,0,7,4,3.0
1860-26905,1860-02-21,60,3.1272727272727274,2.4180357804657504,9.0,0.7349206349206349,6,35,2.2675382653061225,0.9821428571428571,3.352040816326531,4.071428571428571,42,1,93,22,78.0
1860-49361,1860-02-21,31,3.5185185185185186,1.3810173040190468,4.0,0.8931216931216931,7,19,3.105867346938776,0.9642857142857143,0.5956632653061226,1.8928571428571428,8,1,32,7,37.0
1860-27658,1860-02-22,30,2.5384615384615383,1.6122399636112485,9.0,0.6722222222222222,5,17,2.3319615912208502,0.9629629629629629,5.854595336076817,4.185185185185185,15,2,34,6,38.0
1860-90505,1860-02-22,5,2.0,0.6931471805599453,4.0,0.6666666666666666,1,1,0.1875,0.75,1.25,1.5,3,0,10,4,4.0
1860-122196,1860-02-23,5,1.0,1.242453324894,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,3,5.0
1860-131932,1860-02-23,70,3.3442622950819674,1.8960418336915583,8.0,0.7021303258145363,7,43,2.854578563995837,0.9838709677419355,2.6318938605619144,4.306451612903226,48,1,86,8,92.0
1860-30629,1860-02-23,7,2.0,0.0,3.0,0.25,2,1,0.6875,0.75,0.6875,1.25,5,0,6,1,5.0
1860-5575,1860-02-24,7,1.6,0.9751822497023467,3.0,0.8333333333333334,2,3,0.8055555555555555,0.8333333333333334,0.5555555555555557,1.3333333333333333,3,0,8,3,4.0
1860-5574,1860-02-24,62,3.232142857142857,1.7442600280006262,9.0,0.6636904761904762,7,33,2.368113265620191,0.9824561403508771,4.142813173284088,3.543859649122807,32,1,62,6,78.0
1860-125869,1860-02-24,32,2.9655172413793105,1.1628533688980989,7.0,0.7466666666666667,5,20,2.2988888888888876,0.9666666666666667,1.995555555555555,2.933333333333333,12,0,32,3,40.0
1860-24463,1860-02-24,31,1.9655172413793103,1.3714168432629743,11.0,0.611111111111111,3,18,1.5655555555555556,0.9666666666666667,8.515555555555556,5.466666666666667,18,0,32,2,35.0
1860-24526,1860-02-24,11,2.5555555555555554,1.3643154544011153,4.0,0.8888888888888888,3,7,1.89,0.9,0.9600000000000002,1.8,4,0,24,10,8.0
1860-497,1860-02-27,17,3.3333333333333335,0.5288951470739273,5.0,0.7023809523809524,7,10,3.18359375,0.9375,0.90234375,2.1875,6,0,19,2,20.0
1860-26944,1860-02-28,61,2.8,1.6762036087463617,12.0,0.6541353383458647,7,36,2.517538265306122,0.9821428571428571,9.247130102040817,4.446428571428571,32,0,63,4,80.0
1860-23776,1860-02-28,15,3.1818181818181817,0.08500053620295699,5.0,0.575,5,8,2.2430555555555554,0.9166666666666666,1.3055555555555554,2.1666666666666665,8,1,16,1,18.0
1860-166950,1860-02-29,41,3.4285714285714284,1.758563424334608,8.0,0.7777777777777777,8,24,3.0825617283950617,0.9722222222222222,4.033950617283951,3.2777777777777777,14,1,56,11,52.0
1860-90548,1860-02-29,72,4.174603174603175,1.1997283802276588,10.0,0.6537878787878788,5,42,2.515380859375,0.984375,4.273193359375,3.765625,28,0,74,3,91.0
1860-151693,1860-02-29,6,1.75,0.2451031682816275,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.64,1.4,4,0,6,1,7.0
1860-106418,1860-03-01,31,2.357142857142857,1.722077417756043,9.0,0.655,5,18,2.171224732461356,0.9655172413793104,5.374554102259215,3.9310344827586206,16,0,32,6,36.0
1860-106349,1860-03-01,60,3.962962962962963,0.973248214438631,8.0,0.711111111111111,5,34,2.5996694214876053,0.9818181818181818,2.1897520661157026,3.2545454545454544,27,1,61,2,77.0
1860-123516,1860-03-01,70,3.5901639344262297,1.6812490614933835,8.0,0.6253333333333333,5,36,2.1449011446409987,0.9838709677419355,3.129032258064516,4.0,33,3,79,6,93.0
1860-169585,1860-03-01,17,2.7857142857142856,0.8788269283707721,4.0,0.8476190476190476,7,10,3.395555555555556,0.9333333333333333,0.7288888888888889,1.9333333333333333,4,0,19,3,19.0
1860-74943,1860-03-01,70,3.0,2.132121799508749,11.0,0.6985507246376812,6,41,2.515380859375,0.984375,8.5380859375,4.84375,38,2,72,10,92.0
1860-190694,1860-03-02,42,2.973684210526316,1.4351263446388136,6.0,0.7630952380952383,6,24,2.8454963839579226,0.9743589743589743,1.445101906640368,2.7948717948717947,16,1,43,4,55.0
1860-86563,1860-03-02,21,2.111111111111111,1.5297240439700492,6.0,0.8095238095238094,4,12,2.260387811634349,0.9473684210526315,1.722991689750693,2.473684210526316,8,0,21,5,25.0
1860-75390,1860-03-05,12,2.0,1.1512925464970227,5.0,0.6,2,5,0.8900000000000002,0.9,1.2,2.0,5,0,14,4,14.0
