len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.6329143381943507,0.0
5,NDD,increasing,1.5454337809472918e-09,5.963938971725426e-06
5,Height,decreasing,2.3780164700948347e-05,0.0
5,Ratio$_{head-final}$,increasing,1.3500311979441904e-13,0.0
5,treeDegree,increasing,2.9976021664879227e-14,0.0
5,#Leaves,increasing,9.431788683400555e-12,0.0
5,degreeVar,increasing,1.6431300764452317e-14,0.0
5,degreeMean,increasing,0.000705772653857073,0.0
5,depthVar,decreasing,2.2604140781368187e-13,0.0
5,depthMean,decreasing,2.6942248432249016e-10,0.0
5,d$_{head-final}$,decreasing,8.190337297264705e-12,0.0
5,#Crossings,no trend,0.3797296417266791,0.0
5,Height$_{dependency}$,increasing,0.000956024764434904,0.0
5,d$_{root}$,increasing,1.3216532313009566e-08,0.0
5,d$_{randomTree}$,no trend,0.512643200277362,0.0
10,MDD,no trend,0.5598998949894725,0.0
10,NDD,no trend,0.7899997016077787,0.0
10,Height,no trend,0.3206099937023619,0.0
10,Ratio$_{head-final}$,no trend,0.14610338465708161,0.0
10,treeDegree,no trend,0.24170887177445732,0.0
10,#Leaves,no trend,0.16412951359644046,0.0
10,degreeVar,no trend,0.11272344223547215,0.0
10,degreeMean,no trend,0.5755364972983319,0.0
10,depthVar,no trend,0.35550051775366387,0.0
10,depthMean,no trend,0.11803682655878989,0.0
10,d$_{head-final}$,no trend,0.9831184183174617,0.0
10,#Crossings,no trend,0.3072808043393114,0.0
10,Height$_{dependency}$,no trend,0.14263191203156622,0.0
10,d$_{root}$,no trend,0.6282619118871959,0.0
10,d$_{randomTree}$,no trend,0.18154416925278394,0.0
15,MDD,no trend,0.17445491536481117,0.0
15,NDD,decreasing,0.015153706066785455,-1.2899786114207856e-05
15,Height,no trend,0.1179236577664966,0.0
15,Ratio$_{head-final}$,no trend,0.2135867996539509,8.307579835841999e-07
15,treeDegree,no trend,0.2090821631688471,0.0
15,#Leaves,increasing,0.049661337640115155,0.0
15,degreeVar,increasing,0.006436507349990128,1.1813417987613218e-05
15,degreeMean,no trend,0.563135545960864,0.0
15,depthVar,no trend,0.15554133823192218,-1.0306198928014323e-05
15,depthMean,no trend,0.0654561166837817,-5.796244634584483e-06
15,d$_{head-final}$,decreasing,0.019669218860143056,0.0
15,#Crossings,no trend,0.6074629001850969,0.0
15,Height$_{dependency}$,no trend,0.3217998906849042,0.0
15,d$_{root}$,no trend,0.11218799805960478,0.0
15,d$_{randomTree}$,no trend,0.26384606307908554,0.0
20,MDD,no trend,0.4451581912194178,0.0
20,NDD,decreasing,0.04153372151686163,-1.1921956579996758e-05
20,Height,no trend,0.4736095313078841,0.0
20,Ratio$_{head-final}$,no trend,0.19179833145068148,-1.7692617316225075e-06
20,treeDegree,decreasing,0.016372586769302977,0.0
20,#Leaves,no trend,0.7360514087101868,0.0
20,degreeVar,no trend,0.15217885883899984,-3.1795940264747994e-06
20,degreeMean,no trend,0.076241937191726,0.0
20,depthVar,no trend,0.4368686402426003,8.883766158767535e-06
20,depthMean,no trend,0.49391737610694353,0.0
20,d$_{head-final}$,no trend,0.8538921901825192,0.0
20,#Crossings,no trend,0.9266981102689611,0.0
20,Height$_{dependency}$,no trend,0.4006124640875104,0.0
20,d$_{root}$,decreasing,0.027512190151775195,0.0
20,d$_{randomTree}$,no trend,0.4017014460278152,0.0
30,MDD,no trend,0.13259328269529336,-1.0315306162612795e-05
30,NDD,increasing,0.03288590905908384,1.4098066370485831e-05
30,Height,no trend,0.05428749155625057,0.0
30,Ratio$_{head-final}$,no trend,0.050040665087479175,-2.6198859825620786e-06
30,treeDegree,decreasing,0.028429286829259492,0.0
30,#Leaves,no trend,0.9628942782900642,0.0
30,degreeVar,no trend,0.3556406893059487,-2.3764049941050176e-06
30,degreeMean,no trend,0.6628883190187858,0.0
30,depthVar,increasing,0.040879008763074376,3.630801090033774e-05
30,depthMean,increasing,0.03600411308199969,2.0699923574475825e-05
30,d$_{head-final}$,no trend,0.08663109771852673,0.0
30,#Crossings,no trend,0.5519957057610354,0.0
30,Height$_{dependency}$,no trend,0.6067991500113099,0.0
30,d$_{root}$,no trend,0.22600928723197722,0.0
30,d$_{randomTree}$,no trend,0.47897663562819437,0.0
40,MDD,no trend,0.40836782214851697,-4.8229526260214495e-06
40,NDD,no trend,0.3864594641678183,6.216925405133054e-06
40,Height,no trend,0.26713052585947517,0.0
40,Ratio$_{head-final}$,no trend,0.39530720224112015,-9.953814301640354e-07
40,treeDegree,decreasing,0.002853646598489634,0.0
40,#Leaves,no trend,0.8563833076420002,0.0
40,degreeVar,no trend,0.13510893869541007,-9.39952357747611e-06
40,degreeMean,no trend,0.0811497489111912,0.0
