len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.17391124389324997,0.0
5,NDD,increasing,1.0548994988646143e-07,4.2954618846907986e-06
5,Height,decreasing,2.9422615899221682e-08,0.0
5,Ratio$_{head-final}$,increasing,8.675345330999562e-09,0.0
5,treeDegree,increasing,1.554312234475219e-14,0.0
5,#Leaves,increasing,2.453592884421596e-13,0.0
5,degreeVar,increasing,2.220446049250313e-15,0.0
5,degreeMean,increasing,0.000705772653857073,0.0
5,depthVar,decreasing,5.105027511831395e-12,0.0
5,depthMean,decreasing,2.808902621609377e-08,0.0
5,d$_{head-final}$,decreasing,5.905520072957415e-09,0.0
5,#Crossings,no trend,0.8349487961351136,0.0
5,Height$_{dependency}$,no trend,0.5328348501099764,0.0
5,d$_{root}$,increasing,0.031137221492003375,0.0
5,d$_{randomTree}$,no trend,0.8751174210301287,0.0
10,MDD,no trend,0.957380486554555,0.0
10,NDD,no trend,0.7044322233984759,0.0
10,Height,decreasing,0.017119712441167723,0.0
10,Ratio$_{head-final}$,increasing,0.00764234690443466,6.773782944631827e-20
10,treeDegree,no trend,0.11385698304261394,0.0
10,#Leaves,no trend,0.13044572630181728,0.0
10,degreeVar,increasing,0.01748794917776464,0.0
10,degreeMean,no trend,0.5692016902521557,0.0
10,depthVar,decreasing,0.024537461864219567,-4.268199116687485e-06
10,depthMean,decreasing,0.004329841410800617,-4.985964524902642e-06
10,d$_{head-final}$,decreasing,0.04561915490501711,0.0
10,#Crossings,no trend,0.09399644016511122,0.0
10,Height$_{dependency}$,no trend,0.06301146842739236,0.0
10,d$_{root}$,no trend,0.910790051479766,0.0
10,d$_{randomTree}$,no trend,0.9381271751851483,0.0
15,MDD,no trend,0.2493547708721282,0.0
15,NDD,no trend,0.1347660658133938,-7.8218901952737e-06
15,Height,no trend,0.19178500863186532,0.0
15,Ratio$_{head-final}$,increasing,0.03635418527951639,3.110903717529937e-06
15,treeDegree,no trend,0.3366141420471247,0.0
15,#Leaves,no trend,0.05402486241165305,0.0
15,degreeVar,increasing,0.006152074453109613,9.689794394885412e-06
15,degreeMean,no trend,0.565394614090764,0.0
15,depthVar,no trend,0.16804035420892083,-1.0297600503770546e-05
15,depthMean,decreasing,0.02642743300014949,-8.692779777117137e-06
15,d$_{head-final}$,decreasing,0.006199024251757779,0.0
15,#Crossings,no trend,0.2529259597167002,0.0
15,Height$_{dependency}$,no trend,0.4693862648728968,0.0
15,d$_{root}$,no trend,0.48164088670066696,0.0
15,d$_{randomTree}$,no trend,0.10076620096282718,0.0
20,MDD,no trend,0.5850198444064143,0.0
20,NDD,no trend,0.5508216281639728,-3.3364649436654644e-06
20,Height,increasing,0.043559552950967584,0.0
20,Ratio$_{head-final}$,decreasing,0.046706949444415224,-2.958623648278862e-06
20,treeDegree,no trend,0.07792915460478644,0.0
20,#Leaves,no trend,0.8296091585619412,0.0
20,degreeVar,no trend,0.07840592597092955,-5.2845076917281875e-06
20,degreeMean,no trend,0.07837083260251809,0.0
20,depthVar,increasing,0.02446529031902056,2.6387287951013738e-05
20,depthMean,no trend,0.10129187053023525,9.769727522299368e-06
20,d$_{head-final}$,no trend,0.17933942110300882,0.0
20,#Crossings,no trend,0.21581595220982508,0.0
20,Height$_{dependency}$,no trend,0.2961796492958717,0.0
20,d$_{root}$,no trend,0.5486050736991417,0.0
20,d$_{randomTree}$,no trend,0.937563262968097,0.0
30,MDD,no trend,0.30791282489140137,-6.050031368960591e-06
30,NDD,increasing,0.016561185902567388,1.6720830655228197e-05
30,Height,no trend,0.15348165910632616,0.0
30,Ratio$_{head-final}$,no trend,0.14070810549351775,-1.963093835885298e-06
30,treeDegree,decreasing,0.0020757988509392256,0.0
30,#Leaves,no trend,0.5544034355156049,0.0
30,degreeVar,no trend,0.13863778928063009,-5.9216483382335075e-06
30,degreeMean,no trend,0.6644499635228323,0.0
30,depthVar,no trend,0.10663041787217087,2.7350328636623422e-05
30,depthMean,no trend,0.14364157586002557,1.3654578738255666e-05
