id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-27521,1860-01-26,51,3.5555555555555554,0.9923829630610129,8.0,0.7358630952380951,7,30,3.1517013232514173,0.9782608695652174,3.2159735349716447,3.847826086956522,18,0,56,2,65.0
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,6,2.359375,0.875,0.4375,1.25,2,0,13,6,13.0
1860-156797,1860-01-30,31,2.9642857142857144,1.4928915519858705,9.0,0.6016666666666667,5,19,2.3781212841854926,0.9655172413793104,4.946492271105827,3.8620689655172415,16,0,44,6,38.0
1860-38786,1860-01-31,70,3.359375,1.680157646396878,11.0,0.7535147392290249,7,44,2.968994082840237,0.9846153846153847,5.677159763313609,4.723076923076923,28,0,70,5,95.0
1860-38878,1860-01-31,32,2.896551724137931,1.5329574565882655,5.0,0.7564285714285715,7,20,3.098888888888887,0.9666666666666667,1.1655555555555557,2.3666666666666667,10,0,33,6,41.0
1860-45992,1860-01-31,51,2.311111111111111,1.7697394694334398,7.0,0.6841666666666666,5,25,1.6002604166666667,0.9375,2.608695652173913,3.0,26,0,25,4,63.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,14.0
1860-52388,1860-02-03,72,2.8181818181818183,1.615560522342762,14.0,0.688,6,42,2.522165292938294,0.9850746268656716,14.33548674537759,5.8059701492537314,30,0,74,3,96.0
1860-173176,1860-02-03,30,3.5714285714285716,0.9599883835144044,6.0,0.7266666666666667,5,19,2.309155766944114,0.9655172413793104,1.9120095124851368,3.1379310344827585,10,0,39,3,36.0
1860-173134,1860-02-03,62,3.290909090909091,1.3708181436682747,10.0,0.6581632653061223,7,35,2.7318239795918364,0.9821428571428571,4.908163265306123,5.357142857142857,28,0,64,3,79.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,20.0
1860-111485,1860-02-03,52,2.74468085106383,1.8218154374163593,13.0,0.6601851851851852,6,30,2.562065972222222,0.9791666666666666,11.641927083333334,5.0625,25,0,55,6,67.0
1860-195200,1860-02-03,40,2.6857142857142855,0.8038127484474649,1.0,0.7222222222222222,6,23,2.4295105916727535,0.9459459459459459,0.0,0.0,20,0,1,1,50.0
1860-176802,1860-02-07,31,2.5172413793103448,1.3267412240032155,8.0,0.7136363636363636,5,19,2.0322222222222224,0.9666666666666667,3.648888888888889,4.133333333333334,14,0,32,3,41.0
1860-25775,1860-02-07,70,3.933333333333333,1.032523279563119,8.0,0.8093333333333333,6,36,2.3112066648750322,0.9836065573770492,2.3891427035743087,3.9344262295081966,22,0,71,2,93.0
1860-175354,1860-02-09,71,3.4461538461538463,0.85756858905381,13.0,0.6301904761904762,7,41,2.6209825528007347,0.9848484848484849,5.827594123048669,6.742424242424242,35,0,71,1,96.0
1860-143818,1860-02-09,7,2.25,0.889668474614749,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,11,6,6.0
1860-109679,1860-02-09,12,2.4,0.6700524893252582,4.0,0.7083333333333333,4,7,1.9008264462809914,0.9090909090909091,0.9917355371900828,1.9090909090909092,4,0,15,2,14.0
1860-129278,1860-02-13,71,3.171875,1.9058258137933597,10.0,0.6208333333333333,8,41,2.8766863905325435,0.9846153846153847,5.693254437869823,3.753846153846154,32,0,70,7,93.0
1860-129213,1860-02-13,62,2.6964285714285716,2.2720508127315,12.0,0.6946969696969698,5,35,2.1575869498307174,0.9824561403508771,8.653739612188366,4.368421052631579,27,0,66,12,83.0
1860-103658,1860-02-13,62,5.188679245283019,0.8973189835017424,8.0,0.705,6,34,2.3885459533607682,0.9814814814814815,3.1087105624142675,3.759259259259259,22,0,79,3,77.0
1860-24889,1860-02-14,70,2.8870967741935485,2.1626084888971255,9.0,0.776984126984127,6,42,2.6822877299067787,0.9841269841269841,3.1564625850340136,4.0476190476190474,26,0,70,10,92.0
1860-144442,1860-02-16,16,2.3076923076923075,0.8298542308869835,6.0,0.611111111111111,4,8,1.6377551020408159,0.9285714285714286,1.8163265306122451,2.5714285714285716,8,0,17,2,18.0
1860-120033,1860-02-16,52,2.911111111111111,1.7416655994277432,7.0,0.7333333333333333,6,32,2.8908317580340257,0.9782608695652174,2.2003780718336485,3.130434782608696,18,0,55,6,66.0
1860-47427,1860-02-16,41,3.081081081081081,1.6664676186405785,7.0,0.7238095238095238,6,24,2.3414127423822726,0.9736842105263158,1.8621883656509695,3.0789473684210527,18,0,43,7,52.0
1860-186172,1860-02-16,51,3.6444444444444444,2.066302639138751,6.0,0.7857142857142857,6,32,3.064744801512287,0.9782608695652174,1.6011342155009454,2.9130434782608696,18,0,64,18,67.0
1860-186173,1860-02-16,71,2.8615384615384616,1.939347701809676,11.0,0.775,8,41,2.681588613406795,0.9848484848484849,7.029384756657483,5.03030303030303,24,0,75,6,93.0
1860-157189,1860-02-17,7,1.8,0.8573992140459632,3.0,0.8333333333333333,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,8,3,8.0
1860-163678,1860-02-17,10,2.125,1.240720220905757,4.0,0.65,5,5,2.320987654320987,0.8888888888888888,0.6666666666666666,1.3333333333333333,4,0,14,6,11.0
1860-157319,1860-02-17,62,3.9615384615384617,1.8509668314619072,5.0,0.6641666666666666,5,33,2.2208504801097395,0.9629629629629629,1.122085048010974,2.3703703703703702,28,0,38,12,81.0
1860-120501,1860-02-17,51,2.8125,1.8077161161388022,9.0,0.6929824561403509,6,30,2.1832569762598917,0.9795918367346939,4.343190337359434,3.938775510204082,22,0,52,6,64.0
1860-120504,1860-02-17,16,1.9285714285714286,1.2465517084960895,6.0,0.736111111111111,4,9,1.6622222222222227,0.9333333333333333,2.1599999999999997,2.8,8,0,17,3,19.0
