len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.37994451406658714,0.0
5,NDD,increasing,5.92700676760316e-07,0.0
5,Height,decreasing,6.851027447418723e-05,0.0
5,Ratio$_{head-final}$,increasing,0.012505008768955994,0.0
5,treeDegree,increasing,6.587386192080658e-10,0.0
5,#Leaves,increasing,1.2842371610588543e-10,0.0
5,degreeVar,increasing,5.965228311310966e-12,0.0
5,degreeMean,increasing,0.00040020652587258176,0.0
5,depthVar,decreasing,3.1317683690801346e-07,0.0
5,depthMean,decreasing,0.00073621763629661,0.0
5,d$_{head-final}$,decreasing,0.0008217003251116406,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,no trend,0.5352489480569436,0.0
5,d$_{root}$,no trend,0.14825932413955822,0.0
5,d$_{randomTree}$,no trend,0.3842084218156505,0.0
10,MDD,no trend,0.5168460525884131,0.0
10,NDD,no trend,0.2996138225143712,-3.516200460957169e-06
10,Height,no trend,0.7857710831970159,0.0
10,Ratio$_{head-final}$,no trend,0.29591616875620796,0.0
10,treeDegree,no trend,0.31569854713603784,0.0
10,#Leaves,no trend,0.09641205410104492,0.0
10,degreeVar,no trend,0.13593184575120798,0.0
10,degreeMean,no trend,0.6152334994985043,0.0
10,depthVar,no trend,0.9385804211119562,0.0
10,depthMean,no trend,0.7627237300718654,0.0
10,d$_{head-final}$,no trend,0.3059121708339081,0.0
10,#Crossings,no trend,1.0,0.0
10,Height$_{dependency}$,decreasing,0.03814026518045299,0.0
10,d$_{root}$,decreasing,0.04907748153318403,0.0
10,d$_{randomTree}$,no trend,0.43335598169990086,0.0
15,MDD,no trend,0.3482058347339292,0.0
15,NDD,no trend,0.05876509967617971,-1.0269667106721705e-05
15,Height,no trend,0.6941981288279389,0.0
15,Ratio$_{head-final}$,no trend,0.8588465990277343,0.0
15,treeDegree,no trend,0.5669765556781474,0.0
15,#Leaves,no trend,0.10609412059663414,0.0
15,degreeVar,increasing,0.023796725281969744,7.850298337460448e-06
15,degreeMean,no trend,0.5440151488591689,0.0
15,depthVar,no trend,0.9750752043358379,0.0
15,depthMean,no trend,0.7506736383123935,0.0
15,d$_{head-final}$,no trend,0.1030500364203979,0.0
15,#Crossings,no trend,1.0,0.0
15,Height$_{dependency}$,no trend,0.7244954726627992,0.0
15,d$_{root}$,no trend,0.3601802271533503,0.0
15,d$_{randomTree}$,no trend,0.2780861959120231,0.0
20,MDD,no trend,0.18135399019762977,5.696739757501593e-06
20,NDD,no trend,0.17625147371874972,-8.260803428827604e-06
20,Height,increasing,0.04407797063681196,0.0
20,Ratio$_{head-final}$,decreasing,0.0002145506007702469,-5.6306306306306654e-06
20,treeDegree,no trend,0.19155859572219258,0.0
20,#Leaves,no trend,0.758904380725892,0.0
20,degreeVar,no trend,0.356801471232314,-3.0437917056207172e-19
20,degreeMean,no trend,0.09380421110088233,0.0
20,depthVar,increasing,0.02189697600212881,2.7971204469749204e-05
20,depthMean,increasing,0.03471453966618476,1.6805206207661128e-05
20,d$_{head-final}$,no trend,0.11227642266671611,0.0
20,#Crossings,no trend,1.0,0.0
20,Height$_{dependency}$,no trend,0.17282438175394477,0.0
20,d$_{root}$,no trend,0.16088301401328708,0.0
20,d$_{randomTree}$,no trend,0.48161496391998426,0.0
30,MDD,no trend,0.1351956933302998,-1.0538539108189237e-05
30,NDD,increasing,0.03712629255804867,1.4257662271481483e-05
30,Height,increasing,0.027499695020867465,0.0
30,Ratio$_{head-final}$,decreasing,0.0006810383575628354,-4.524068041983432e-06
30,treeDegree,decreasing,0.002861084740779063,0.0
30,#Leaves,no trend,0.4292126533244254,0.0
30,degreeVar,no trend,0.118713170105331,-7.76141360712682e-06
30,degreeMean,no trend,0.5806987203050618,0.0
30,depthVar,increasing,0.027165076013357714,4.243295260600457e-05
30,depthMean,increasing,0.03437152591910908,2.370516464435411e-05
30,d$_{head-final}$,no trend,0.11879686598161743,0.0
30,#Crossings,no trend,1.0,0.0
30,Height$_{dependency}$,no trend,0.47462788022428026,0.0
30,d$_{root}$,no trend,0.14506036765959163,0.0
30,d$_{randomTree}$,no trend,0.9072533458709786,0.0
40,MDD,no trend,0.5420067090625793,3.3058422796983138e-06
40,NDD,no trend,0.6572800218462254,-3.1776597974731787e-06
40,Height,increasing,0.03183726533496012,0.0
40,Ratio$_{head-final}$,decreasing,0.011703856103423727,-3.0056685364343382e-06
40,treeDegree,decreasing,0.03192430868051721,0.0
40,#Leaves,no trend,0.18611784052834857,0.0
40,degreeVar,decreasing,0.026562673210864807,-1.686537830497778e-05
40,degreeMean,no trend,0.1214660765868878,0.0
40,depthVar,increasing,0.04296348013455087,5.1184725529849486e-05
40,depthMean,no trend,0.0610806155231054,2.5155599221054892e-05
40,d$_{head-final}$,no trend,0.2124441617314452,0.0
40,#Crossings,no trend,1.0,0.0
40,Height$_{dependency}$,no trend,0.7574793816421406,0.0
40,d$_{root}$,no trend,0.7357208688500263,0.0
40,d$_{randomTree}$,no trend,0.6996721661219476,0.0
50,MDD,no trend,0.2789919720777956,8.712774670221414e-06
50,NDD,no trend,0.6361942154247595,-3.5415180524492287e-06
50,Height,increasing,0.0156464725525014,0.0
50,Ratio$_{head-final}$,decreasing,3.341954620705856e-05,-4.617237269847366e-06
50,treeDegree,decreasing,0.010373960083807532,0.0
50,#Leaves,no trend,0.20331525732766353,0.0
50,degreeVar,no trend,0.07704866639148,-1.2963086546156033e-05
50,degreeMean,no trend,0.5402790301196208,0.0
50,depthVar,increasing,0.010985331579920654,8.559679256411843e-05
50,depthMean,increasing,0.00010186704991976825,6.167129201356788e-05
50,d$_{head-final}$,no trend,0.15361560141327923,0.0
50,#Crossings,no trend,1.0,0.0
50,Height$_{dependency}$,increasing,0.03283261252897818,0.0
50,d$_{root}$,no trend,0.6605976991954547,0.0
50,d$_{randomTree}$,no trend,0.3280711424260696,0.0
60,MDD,no trend,0.3061244811861119,-8.560520634029767e-06
60,NDD,no trend,0.538804324356829,4.644534584176848e-06
60,Height,increasing,7.310819319283901e-05,0.0
60,Ratio$_{head-final}$,decreasing,2.1507181147129018e-08,-5.7287012801858385e-06
