id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-27521,1860-01-26,51,3.511111111111111,1.004961745267873,9.0,0.7129464285714286,7,28,2.9777882797731565,0.9782608695652174,4.5902646502835545,4.586956521739131,23,0,56,2,65.0
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,5,2.359375,0.875,0.4375,1.25,4,0,13,6,11.0
1860-156797,1860-01-30,31,3.0714285714285716,1.4573848635289606,8.0,0.6183333333333334,5,19,2.3781212841854926,0.9655172413793104,4.130796670630202,3.7241379310344827,14,0,44,6,40.0
1860-38786,1860-01-31,70,3.546875,1.6258456570431379,9.0,0.7515873015873016,6,43,2.9382248520710053,0.9846153846153847,3.51715976331361,4.076923076923077,27,0,70,5,90.0
1860-38878,1860-01-31,32,3.0689655172413794,1.5522132256130685,5.0,0.8297619047619047,7,20,3.2322222222222203,0.9666666666666667,1.2100000000000002,2.3,8,0,33,7,38.0
1860-45992,1860-01-31,51,2.577777777777778,1.6605401774684478,14.0,0.6275000000000001,5,26,1.716918714555765,0.9782608695652174,11.378544423440454,5.456521739130435,28,0,52,4,67.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,14.0
1860-52388,1860-02-03,72,3.0757575757575757,2.4510145622633415,10.0,0.7270833333333333,6,43,2.4624638004009807,0.9850746268656716,4.8064156827801305,4.298507462686567,31,0,74,19,95.0
1860-173176,1860-02-03,30,2.75,1.221353147648812,10.0,0.6666666666666666,5,20,2.378121284185492,0.9655172413793104,6.302021403091557,4.793103448275862,16,1,39,3,38.0
1860-173134,1860-02-03,62,3.4909090909090907,1.3118198029063188,9.0,0.6773809523809524,8,36,2.9818239795918364,0.9821428571428571,4.0,4.0,27,0,64,3,82.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,18.0
1860-111485,1860-02-03,52,2.978723404255319,1.7399854191687272,11.0,0.7598039215686275,6,30,2.7703993055555554,0.9791666666666666,7.263888888888889,4.166666666666667,24,0,55,6,68.0
1860-195200,1860-02-03,40,2.9714285714285715,1.6756717061037527,7.0,0.7474358974358973,6,22,2.5825617283950617,0.9722222222222222,2.989969135802469,3.6944444444444446,18,0,46,7,52.0
1860-176802,1860-02-07,31,2.413793103448276,1.3687054231022475,8.0,0.6303030303030304,5,19,1.9655555555555553,0.9666666666666667,3.2722222222222217,3.1666666666666665,17,0,32,3,40.0
1860-25775,1860-02-07,70,4.1,0.9910235486563662,8.0,0.8018518518518518,6,32,2.114485353399623,0.9836065573770492,2.037086804622413,3.721311475409836,29,0,75,2,90.0
1860-175354,1860-02-09,71,3.3846153846153846,1.848542169084145,12.0,0.6532051282051282,6,39,2.4088613406795227,0.9848484848484849,7.400596877869605,5.46969696969697,36,0,71,7,90.0
1860-143818,1860-02-09,7,2.25,0.889668474614749,3.0,1.0,3,2,1.3600000000000005,0.8,0.4,1.0,4,0,11,6,6.0
1860-109679,1860-02-09,12,2.3,0.712612103744054,5.0,0.7666666666666666,3,6,1.355371900826446,0.9090909090909091,1.2727272727272727,2.0,4,0,15,2,13.0
1860-129278,1860-02-13,71,3.1875,1.9009117989909308,9.0,0.6396825396825397,7,41,2.8459171597633133,0.9846153846153847,3.52094674556213,3.646153846153846,30,0,70,7,92.0
1860-129213,1860-02-13,62,3.017857142857143,2.159431934623351,9.0,0.703030303030303,5,35,2.227762388427209,0.9824561403508771,2.9646044936903664,3.3508771929824563,27,0,70,12,79.0
1860-103658,1860-02-13,62,4.415094339622642,1.0587689658106123,8.0,0.6166666666666666,6,35,2.536694101508916,0.9814814814814815,3.096364883401921,4.425925925925926,26,1,79,3,81.0
1860-24889,1860-02-14,70,2.870967741935484,2.1682107444457954,10.0,0.6809523809523809,6,42,2.618795666414715,0.9841269841269841,3.9909297052154193,4.238095238095238,31,0,70,10,94.0
1860-144442,1860-02-16,16,2.0,1.5222612188617115,5.0,0.7083333333333334,4,8,1.9234693877551017,0.9285714285714286,1.6326530612244896,2.2857142857142856,8,0,17,6,20.0
1860-120033,1860-02-16,52,4.311111111111111,0.7996986192315116,7.0,0.709375,5,30,2.2386578449905477,0.9782608695652174,1.871928166351607,3.3260869565217392,37,1,89,2,68.0
1860-47427,1860-02-16,41,2.5945945945945947,2.1848914658472105,8.0,0.7884615384615383,8,25,3.0782548476454297,0.9736842105263158,3.4487534626038783,3.1578947368421053,16,0,43,14,53.0
1860-186172,1860-02-16,51,4.111111111111111,1.0499335072705973,6.0,0.8083333333333335,6,31,3.1951795841209822,0.9782608695652174,1.1762759924385633,2.6739130434782608,16,0,64,3,65.0
1860-186173,1860-02-16,71,3.0,1.8920948169591305,9.0,0.7603333333333333,8,41,2.560376492194674,0.9848484848484849,3.8230027548209375,4.318181818181818,28,0,75,6,91.0
1860-157189,1860-02-17,7,1.8,0.8573992140459632,3.0,0.8333333333333333,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,8,3,7.0
1860-163678,1860-02-17,10,2.125,0.3448404862917295,4.0,0.625,4,5,1.654320987654321,0.8888888888888888,0.6666666666666666,1.6666666666666667,4,0,9,1,12.0
1860-157319,1860-02-17,62,3.4038461538461537,2.0026932676776594,8.0,0.7111528822055136,7,32,2.3203987184051265,0.9811320754716981,2.2741189035243856,3.0943396226415096,24,0,77,12,79.0
1860-120501,1860-02-17,51,2.5208333333333335,1.3678942046464357,12.0,0.6973684210526315,4,30,1.897542690545606,0.9795918367346939,7.0229071220324855,6.448979591836735,22,0,52,2,66.0
1860-120504,1860-02-17,16,2.0714285714285716,1.1750927445139443,5.0,0.7916666666666666,4,9,1.9288888888888895,0.9333333333333333,1.1555555555555557,2.3333333333333335,6,0,17,3,21.0
1860-157307,1860-02-17,31,3.814814814814815,1.3669309037022133,5.0,0.7100000000000001,6,18,2.5344387755102042,0.9642857142857143,1.1466836734693877,2.3214285714285716,12,0,34,8,40.0
1860-54684,1860-02-20,10,3.3333333333333335,0.8675945588698303,3.0,1.0,5,4,2.979591836734694,0.8571428571428571,0.2857142857142857,1.0,6,0,17,9,12.0
1860-182017,1860-02-20,20,3.0,1.6160605258091107,6.0,0.680952380952381,5,12,2.0498614958448758,0.9473684210526315,1.7451523545706378,2.210526315789474,8,0,30,12,23.0
1860-182071,1860-02-20,62,2.8181818181818183,1.6697310942407442,10.0,0.7098484848484848,6,34,2.267538265306123,0.9821428571428571,3.9435586734693877,3.8035714285714284,32,0,62,4,82.0
1860-181966,1860-02-20,50,2.911111111111111,1.5389330453736612,7.0,0.7407407407407407,6,28,2.4125708884688084,0.9782608695652174,2.0420604914933835,3.152173913043478,20,0,52,4,60.0
1860-114441,1860-02-20,7,1.8,1.0012402502718536,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,7,4,5.0
1860-182009,1860-02-20,6,1.75,0.9382503488415728,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.4,1.0,3,0,7,4,7.0
1860-42205,1860-02-21,70,3.0,1.953784327539383,10.0,0.7333333333333334,6,40,2.327880859375,0.984375,4.265380859375,4.015625,32,0,71,7,92.0
1860-168492,1860-02-21,6,1.5,0.9485599924429406,3.0,0.5,2,2,0.56,0.8,0.56,1.2,3,0,6,3,6.0
1860-26901,1860-02-21,17,2.2857142857142856,1.4232262619806646,5.0,0.6277777777777778,5,9,2.0622222222222226,0.9333333333333333,1.0488888888888888,1.8666666666666667,6,0,20,6,18.0
1860-153125,1860-02-21,5,2.0,0.6931471805599453,2.0,1.0,3,3,1.6875,0.75,0.1875,0.75,2,0,7,4,3.0
1860-26905,1860-02-21,60,3.309090909090909,2.3615235702024084,8.0,0.7383333333333333,6,36,2.4103954081632653,0.9821428571428571,2.9486607142857144,3.625,26,0,63,22,79.0
1860-49361,1860-02-21,31,3.5555555555555554,1.3705460041517514,4.0,0.7962962962962963,6,19,3.0344387755102042,0.9642857142857143,0.7091836734693876,2.0714285714285716,8,0,32,7,37.0
1860-27658,1860-02-22,30,2.3846153846153846,1.6747603205925825,9.0,0.6907407407407408,5,16,2.2578875171467763,0.9629629629629629,5.607681755829903,4.148148148148148,16,0,32,6,38.0
1860-90505,1860-02-22,5,2.0,0.6931471805599453,4.0,0.6666666666666666,1,1,0.1875,0.75,1.25,1.5,3,0,10,4,4.0
1860-122196,1860-02-23,5,1.0,1.242453324894,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,3,5.0
1860-131932,1860-02-23,70,3.7704918032786887,1.7760825186125795,7.0,0.7275,8,42,3.015868886576482,0.9838709677419355,1.6974505723204996,3.564516129032258,25,0,72,8,90.0
1860-30629,1860-02-23,7,3.0,0.4054651081081644,3.0,0.5,2,2,0.6875,0.75,0.5,1.0,4,0,6,1,5.0
