len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.050010258971978194,0.0
5,NDD,increasing,6.644684802381562e-12,1.2453436298245398e-05
5,Height,decreasing,4.570546205950876e-07,0.0
5,Ratio$_{head-final}$,increasing,6.084022174945858e-14,0.0
5,treeDegree,increasing,6.417089082333405e-14,0.0
5,#Leaves,increasing,4.0523140398818214e-13,0.0
5,degreeVar,increasing,8.881784197001252e-16,0.0
5,degreeMean,increasing,0.000705772653857073,0.0
5,depthVar,decreasing,4.439559830871076e-12,0.0
5,depthMean,decreasing,2.2566635757836906e-06,0.0
5,d$_{head-final}$,decreasing,5.7429151212318175e-08,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,increasing,8.255194539086297e-05,0.0
5,d$_{root}$,increasing,4.2051473414517204e-11,0.0
5,d$_{randomTree}$,no trend,0.46466343509936836,0.0
10,MDD,no trend,0.8252653894505051,0.0
10,NDD,no trend,0.33192968394173383,3.152189639460527e-06
10,Height,decreasing,0.00324548308277528,0.0
10,Ratio$_{head-final}$,increasing,0.005960632956057088,8.949804151487528e-20
10,treeDegree,increasing,0.011202277983020759,0.0
10,#Leaves,no trend,0.13303258581780542,0.0
10,degreeVar,increasing,0.0034459833988176314,5.078465874139959e-06
10,degreeMean,no trend,0.5856589760505142,0.0
10,depthVar,decreasing,0.0038299108193069475,-8.119479297799103e-06
10,depthMean,decreasing,0.0006342786590001204,-1.0995294014161928e-05
10,d$_{head-final}$,no trend,0.08607271984177034,0.0
10,#Crossings,no trend,0.794527888267178,0.0
10,Height$_{dependency}$,no trend,0.36178341213582055,0.0
10,d$_{root}$,no trend,0.37680264453490686,0.0
10,d$_{randomTree}$,no trend,0.06780369478971071,0.0
15,MDD,no trend,0.13012021738979995,0.0
15,NDD,decreasing,0.0346341492953528,-1.1383926684415566e-05
15,Height,no trend,0.10227128687530107,0.0
15,Ratio$_{head-final}$,increasing,0.023228365364250436,3.5367682426504844e-06
15,treeDegree,no trend,0.09535140408467413,0.0
15,#Leaves,no trend,0.0985915951613352,0.0
15,degreeVar,increasing,0.0003974813160254609,1.9256550856454614e-05
15,degreeMean,no trend,0.5393655101801329,0.0
15,depthVar,no trend,0.0837199536692641,-1.393142866403482e-05
15,depthMean,decreasing,0.01640100499161723,-1.0730448486321274e-05
15,d$_{head-final}$,decreasing,0.005463975102370178,0.0
15,#Crossings,no trend,0.5020743926074906,0.0
15,Height$_{dependency}$,no trend,0.7279815427128078,0.0
15,d$_{root}$,no trend,0.3068182134804951,0.0
15,d$_{randomTree}$,no trend,0.2659076640030822,0.0
20,MDD,no trend,0.17612048850944695,6.301673724540779e-06
20,NDD,no trend,0.056234211225159925,-1.1505819891257614e-05
20,Height,no trend,0.29284646392681424,0.0
20,Ratio$_{head-final}$,no trend,0.3067959003713314,-1.2872663645683476e-06
20,treeDegree,no trend,0.05677760403272991,0.0
20,#Leaves,no trend,0.5509928780512328,0.0
20,degreeVar,no trend,0.30727537486844314,-5.719116471105057e-19
20,degreeMean,no trend,0.075121886346182,0.0
20,depthVar,no trend,0.2240702868031481,1.474373909676219e-05
20,depthMean,no trend,0.24318347193084322,5.249509170892193e-06
