id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-27521,1860-01-26,51,3.511111111111111,1.004961745267873,9.0,0.7129464285714286,7,28,2.9777882797731565,0.9782608695652174,4.5902646502835545,4.586956521739131,23,0,56,2,64.0
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,5,2.359375,0.875,0.4375,1.25,4,0,13,6,12.0
1860-156797,1860-01-30,31,2.9642857142857144,1.4928915519858705,9.0,0.6016666666666667,5,18,2.3781212841854926,0.9655172413793104,4.946492271105827,3.8620689655172415,18,0,44,6,38.0
1860-38786,1860-01-31,70,3.578125,1.6170736709703009,9.0,0.7510204081632653,7,43,3.0305325443786977,0.9846153846153847,3.648284023668639,3.830769230769231,31,0,70,5,94.0
1860-38878,1860-01-31,32,2.9655172413793105,1.5094269591780716,6.0,0.638095238095238,7,20,3.098888888888887,0.9666666666666667,1.4455555555555553,2.433333333333333,13,0,33,6,39.0
1860-45992,1860-01-31,51,5.2444444444444445,0.9502985635492025,9.0,0.726190476190476,7,26,2.1517013232514173,0.9782608695652174,3.4328922495274097,4.043478260869565,22,0,89,4,66.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,12.0
1860-52388,1860-02-03,72,3.1363636363636362,2.43150174803976,9.0,0.7548611111111111,6,43,2.5520160392069506,0.9850746268656716,3.357986188460681,3.985074626865672,27,0,74,19,92.0
1860-173176,1860-02-03,30,2.9642857142857144,1.1463179617058978,8.0,0.7083333333333333,5,19,2.240190249702735,0.9655172413793104,3.1438763376932233,3.5517241379310347,12,0,39,3,36.0
1860-173134,1860-02-03,62,3.690909090909091,1.256109195892313,8.0,0.676547619047619,8,36,3.1603954081632653,0.9821428571428571,2.989795918367347,3.7857142857142856,24,0,64,3,79.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,19.0
1860-111485,1860-02-03,52,3.0,1.7328679513998633,11.0,0.7535087719298246,6,28,2.353732638888889,0.9791666666666666,7.3125,4.25,24,0,55,6,70.0
1860-195200,1860-02-03,40,3.142857142857143,1.619582239452709,7.0,0.75,6,22,2.693672839506173,0.9722222222222222,1.8233024691358029,2.6944444444444446,18,0,46,7,50.0
1860-176802,1860-02-07,31,2.6551724137931036,1.2733952432979228,7.0,0.6969696969696969,6,19,2.1655555555555552,0.9666666666666667,2.5288888888888885,3.2666666666666666,14,0,32,3,40.0
1860-25775,1860-02-07,70,4.3,0.9433954996671117,9.0,0.7029761904761905,6,31,1.983337812416017,0.9836065573770492,2.8228970706799243,4.114754098360656,33,0,71,2,90.0
1860-175354,1860-02-09,71,3.5692307692307694,1.7954323437701964,10.0,0.6435897435897436,6,39,2.3785583103764925,0.9848484848484849,4.107438016528925,4.7272727272727275,34,0,71,7,92.0
1860-143818,1860-02-09,7,2.25,0.889668474614749,3.0,1.0,3,2,1.3600000000000005,0.8,0.4,1.0,4,0,11,6,2.0
1860-109679,1860-02-09,12,2.4,0.6700524893252582,4.0,0.7083333333333333,4,7,1.9008264462809914,0.9090909090909091,0.9917355371900828,1.9090909090909092,4,0,15,2,15.0
1860-129278,1860-02-13,71,3.203125,1.8960218136967388,10.0,0.6277777777777778,8,41,2.845917159763313,0.9846153846153847,5.111005917159764,3.6769230769230767,32,0,70,7,94.0
1860-129213,1860-02-13,62,2.982142857142857,2.1713368371296693,10.0,0.703030303030303,5,35,2.2277623884272084,0.9824561403508771,4.187134502923977,3.6666666666666665,27,0,72,12,80.0
1860-103658,1860-02-13,62,4.584905660377358,1.0210286378277655,9.0,0.6333333333333334,6,32,2.3144718792866943,0.9814814814814815,3.3885459533607682,5.018518518518518,29,0,72,3,80.0
1860-24889,1860-02-14,70,2.9193548387096775,2.3864990780949227,9.0,0.7154761904761904,8,42,2.936255983875033,0.9841269841269841,2.735197782816831,3.3492063492063493,29,0,70,16,93.0
1860-144442,1860-02-16,16,2.0,1.5222612188617115,5.0,0.6944444444444443,4,7,1.6377551020408159,0.9285714285714286,1.5153061224489797,2.357142857142857,8,0,17,6,17.0
1860-120033,1860-02-16,52,4.822222222222222,0.6876594247543804,11.0,0.6916666666666667,5,29,2.325614366729678,0.9782608695652174,6.716446124763706,4.608695652173913,26,0,100,2,67.0
1860-47427,1860-02-16,41,2.5945945945945947,2.016655347536604,9.0,0.7243589743589745,6,24,2.4993074792243775,0.9736842105263158,4.851108033240997,4.131578947368421,17,0,43,10,52.0
1860-186172,1860-02-16,51,3.6444444444444444,1.1704229045247236,7.0,0.7666666666666666,6,31,2.9777882797731565,0.9782608695652174,1.9943289224952745,3.3043478260869565,20,0,64,3,63.0
1860-186173,1860-02-16,71,3.5538461538461537,1.7226766650010839,8.0,0.7535555555555555,9,41,2.9543158861340686,0.9848484848484849,2.621671258034895,3.787878787878788,28,0,83,6,89.0
1860-157189,1860-02-17,7,1.8,0.8573992140459632,3.0,0.8333333333333333,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,8,3,5.0
1860-163678,1860-02-17,10,1.875,0.4700036292457356,4.0,0.5416666666666666,3,5,1.2098765432098766,0.8888888888888888,0.8395061728395062,1.7777777777777777,5,0,9,1,10.0
1860-157319,1860-02-17,62,3.826923076923077,1.885538175526996,7.0,0.7508771929824561,6,32,2.320398718405126,0.9811320754716981,1.53435386258455,2.8867924528301887,24,0,77,12,80.0
1860-120501,1860-02-17,51,2.5,1.9254991517951858,11.0,0.6648148148148147,5,31,2.0608079966680553,0.9795918367346939,7.800916284881301,5.510204081632653,24,0,52,6,65.0
1860-120504,1860-02-17,16,1.9285714285714286,1.2465517084960895,6.0,0.736111111111111,4,9,1.6622222222222227,0.9333333333333333,2.1599999999999997,2.8,8,0,17,3,20.0
1860-157307,1860-02-17,31,4.333333333333333,1.239485957134093,6.0,0.8203703703703703,6,19,2.7487244897959187,0.9642857142857143,1.5153061224489794,2.642857142857143,12,0,49,8,39.0
1860-54684,1860-02-20,10,3.3333333333333335,0.8675945588698303,3.0,1.0,5,4,2.979591836734694,0.8571428571428571,0.2857142857142857,1.0,6,0,17,9,12.0
1860-182017,1860-02-20,20,2.7222222222222223,1.443726023896415,4.0,0.8238095238095238,5,12,2.0498614958448758,0.9473684210526315,0.7645429362880888,2.1578947368421053,5,0,22,7,18.0
1860-182071,1860-02-20,62,3.1272727272727274,1.5656617343465378,9.0,0.6787878787878787,6,34,2.1603954081632653,0.9821428571428571,4.231823979591837,3.982142857142857,31,0,62,4,81.0
1860-181966,1860-02-20,50,2.888888888888889,2.2074738381103898,8.0,0.716931216931217,7,28,2.3690926275992434,0.9782608695652174,3.784971644612477,3.6739130434782608,18,0,52,15,62.0
1860-114441,1860-02-20,7,1.8,1.0012402502718536,3.0,0.875,4,4,2.138888888888889,0.8333333333333334,0.3333333333333333,1.0,2,0,7,4,5.0
1860-182009,1860-02-20,6,1.75,0.9382503488415728,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.4,1.0,3,0,7,4,5.0
1860-42205,1860-02-21,70,3.4126984126984126,1.4012443842777607,9.0,0.7277777777777779,5,40,2.171630859375,0.984375,3.1318359375,3.84375,29,0,71,3,87.0
1860-168492,1860-02-21,6,1.5,0.9485599924429406,3.0,0.5,2,2,0.56,0.8,0.56,1.2,3,0,6,3,5.0
1860-26901,1860-02-21,17,2.2857142857142856,1.4232262619806646,5.0,0.6277777777777778,5,9,2.0622222222222226,0.9333333333333333,1.0488888888888888,1.8666666666666667,6,0,20,6,18.0
1860-153125,1860-02-21,5,2.0,0.6931471805599453,2.0,1.0,3,3,1.6875,0.75,0.1875,0.75,2,0,7,4,4.0
1860-26905,1860-02-21,60,2.8,2.5285776548655745,9.0,0.7483333333333333,6,36,2.4103954081632653,0.9821428571428571,4.4282525510204085,4.482142857142857,26,0,63,22,78.0
1860-49361,1860-02-21,31,4.0,1.252762968495368,6.0,0.7944444444444445,5,19,2.8201530612244903,0.9642857142857143,1.7295918367346936,2.642857142857143,10,0,54,7,37.0
1860-27658,1860-02-22,30,2.8461538461538463,1.4978296124335042,8.0,0.69375,6,17,2.9245541838134437,0.9629629629629629,4.850480109739369,4.037037037037037,14,0,35,6,40.0
1860-90505,1860-02-22,5,2.0,0.6931471805599453,4.0,0.6666666666666666,1,1,0.1875,0.75,1.25,1.5,3,0,10,4,6.0
1860-122196,1860-02-23,5,1.0,1.039720770839918,3.0,0.25,2,2,0.6875,0.75,0.5,1.0,3,0,4,2,5.0
1860-131932,1860-02-23,70,3.540983606557377,1.83888341985161,7.0,0.7708333333333333,8,42,2.983610822060353,0.9838709677419355,2.242715920915713,3.8225806451612905,25,0,74,8,93.0
1860-30629,1860-02-23,7,2.6666666666666665,0.6081976621622466,3.0,1.0,2,1,0.6875,0.75,0.5,1.0,5,0,11,6,7.0
1860-5575,1860-02-24,7,1.8,1.2039728043259361,3.0,0.75,3,4,1.472222222222222,0.8333333333333334,0.47222222222222215,1.1666666666666667,4,0,11,6,8.0
1860-5574,1860-02-24,62,3.5892857142857144,1.6394521512073759,10.0,0.5947802197802198,7,29,2.017236072637735,0.9824561403508771,3.8171745152354575,4.157894736842105,35,0,67,6,81.0
1860-125869,1860-02-24,32,2.586206896551724,1.299712551615296,9.0,0.7433333333333334,5,20,2.365555555555554,0.9666666666666667,3.8,4.0,14,0,32,3,39.0
1860-24463,1860-02-24,31,3.413793103448276,0.8193482609629346,10.0,0.5638888888888888,5,18,1.8988888888888888,0.9666666666666667,6.272222222222224,4.833333333333333,16,0,56,2,41.0
1860-24526,1860-02-24,11,2.5555555555555554,1.3643154544011153,4.0,0.8888888888888888,3,7,1.89,0.9,0.9600000000000002,1.8,4,0,24,10,13.0
1860-497,1860-02-27,17,2.933333333333333,0.6567285185838123,6.0,0.6833333333333332,5,10,2.05859375,0.9375,1.5,2.5,8,0,22,2,22.0
1860-26944,1860-02-28,61,2.581818181818182,1.75732915355873,11.0,0.6456140350877192,6,36,2.3032525510204076,0.9821428571428571,7.488520408163265,5.892857142857143,32,0,63,4,81.0
1860-23776,1860-02-28,15,2.8181818181818183,0.20636139320722433,5.0,0.5,2,5,0.7430555555555557,0.9166666666666666,1.5763888888888893,2.4166666666666665,8,0,16,1,17.0
1860-166950,1860-02-29,41,3.6,1.7097732601651758,8.0,0.7728174603174603,7,23,2.7492283950617287,0.9722222222222222,3.228395061728395,3.2222222222222223,14,0,60,11,49.0
1860-90548,1860-02-29,72,4.698412698412699,1.081522958081363,12.0,0.6399267399267399,7,37,2.640380859375,0.984375,6.734375,4.875,33,0,112,3,94.0
1860-151693,1860-02-29,6,1.75,0.2451031682816275,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.64,1.4,4,0,6,1,5.0
1860-106418,1860-03-01,31,2.25,1.7685974333909358,10.0,0.6636363636363636,5,17,2.171224732461356,0.9655172413793104,7.303210463733651,4.275862068965517,18,0,32,6,41.0
1860-106349,1860-03-01,60,4.351851851851852,0.8796387153163234,8.0,0.7092105263157894,8,34,2.8905785123966954,0.9818181818181818,2.213553719008264,3.690909090909091,27,0,89,2,80.0
