len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.09239959881543247,0.0
5,NDD,increasing,2.678853605608822e-07,2.6669214251948217e-06
5,Height,decreasing,2.7360126717557165e-06,0.0
5,Ratio$_{head-final}$,increasing,3.8916411396527906e-05,0.0
5,treeDegree,increasing,6.047162770528303e-12,0.0
5,#Leaves,increasing,7.776446153684446e-12,0.0
5,degreeVar,increasing,3.6770586575585185e-13,0.0
5,degreeMean,increasing,0.000705772653857073,0.0
5,depthVar,decreasing,2.144699973172237e-09,0.0
5,depthMean,decreasing,3.916401144166137e-05,0.0
5,d$_{head-final}$,decreasing,5.4488258349749685e-09,0.0
5,#Crossings,no trend,1.0,0.0
5,Height$_{dependency}$,no trend,0.5139733775301183,0.0
5,d$_{root}$,increasing,0.04395519546184179,0.0
5,d$_{randomTree}$,no trend,0.6126980266929789,0.0
10,MDD,no trend,0.6301454921575556,0.0
10,NDD,no trend,0.687035447346215,1.751768307795972e-07
10,Height,no trend,0.07850515100192967,0.0
10,Ratio$_{head-final}$,increasing,0.005122292726654987,1.3312026674162548e-19
10,treeDegree,no trend,0.5847671432910648,0.0
10,#Leaves,no trend,0.09975922832073336,0.0
10,degreeVar,no trend,0.1412781094174398,0.0
10,degreeMean,no trend,0.5550396880341852,0.0
10,depthVar,no trend,0.15415837569989077,-4.7486014740169225e-20
10,depthMean,no trend,0.06030769597859331,0.0
10,d$_{head-final}$,decreasing,0.015462487571532124,0.0
10,#Crossings,no trend,0.8246988690143775,0.0
10,Height$_{dependency}$,no trend,0.08616973886460166,0.0
10,d$_{root}$,no trend,0.8631376781195115,0.0
10,d$_{randomTree}$,no trend,0.4983353110769211,0.0
15,MDD,no trend,0.20600348740807406,0.0
15,NDD,no trend,0.06361678022464412,-9.88938117356886e-06
15,Height,no trend,0.07740083252346985,0.0
15,Ratio$_{head-final}$,increasing,0.016054926501359867,3.815628815628802e-06
15,treeDegree,no trend,0.34547624664315735,0.0
15,#Leaves,no trend,0.06602693509540636,0.0
15,degreeVar,increasing,0.010390150235502604,8.863478288816508e-06
15,degreeMean,no trend,0.5467777255968773,0.0
15,depthVar,no trend,0.07797438992256067,-1.3990015323124446e-05
15,depthMean,decreasing,0.035811413221171096,-7.394262052647119e-06
15,d$_{head-final}$,decreasing,0.0009259895235145255,0.0
15,#Crossings,no trend,0.7674737878617155,0.0
15,Height$_{dependency}$,no trend,0.35050262948914646,0.0
15,d$_{root}$,no trend,0.3082937294164445,0.0
15,d$_{randomTree}$,decreasing,0.015521941665029404,0.0
20,MDD,no trend,0.12712036103606605,7.973685362468634e-06
20,NDD,no trend,0.1248038219220311,-9.191839820287523e-06
20,Height,no trend,0.05740218540284525,0.0
20,Ratio$_{head-final}$,no trend,0.05601308172381758,-2.883789072832894e-06
20,treeDegree,no trend,0.09184679927844797,0.0
20,#Leaves,no trend,0.9311459919282719,0.0
20,degreeVar,decreasing,0.042476452292315114,-7.079256166825316e-06
20,degreeMean,no trend,0.07724150819197151,0.0
20,depthVar,no trend,0.05696334582545859,2.1961730629239498e-05
20,depthMean,no trend,0.15836976274625947,7.4622132187532145e-06
20,d$_{head-final}$,no trend,0.4210454297410757,0.0
20,#Crossings,no trend,0.8903857746024537,0.0
20,Height$_{dependency}$,no trend,0.1463095584982128,0.0
20,d$_{root}$,no trend,0.21038442295564863,0.0
20,d$_{randomTree}$,no trend,0.8139773584902008,0.0
30,MDD,no trend,0.5266342457970972,-1.985393460643407e-06
30,NDD,increasing,0.04439749819410843,1.399704204210097e-05
30,Height,no trend,0.2580371659184282,0.0
30,Ratio$_{head-final}$,no trend,0.16503665878290175,-1.8371546149323862e-06
30,treeDegree,decreasing,0.0017366506289071548,0.0
30,#Leaves,no trend,0.7553904773774112,0.0
30,degreeVar,no trend,0.10581899417368534,-7.006317202232076e-06
30,degreeMean,no trend,0.6725144238582395,0.0
30,depthVar,no trend,0.22367413903509137,2.0320501601163693e-05
