id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,6,2.359375,0.875,0.4375,1.25,2,0,13,6,10.0
1860-27521,1860-01-26,51,3.8222222222222224,0.9200623014813867,8.0,0.6974789915966387,7,28,2.6734404536862,0.9782608695652174,2.8511342155009456,3.4130434782608696,23,0,56,2,63.0
1860-156797,1860-01-30,31,3.0357142857142856,1.4690809032921521,8.0,0.5966666666666667,6,18,2.5160523186682515,0.9655172413793104,3.5219976218787155,3.1724137931034484,18,0,44,6,40.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,10.0
1860-38786,1860-01-31,70,3.46875,1.648118292652261,8.0,0.7511337868480725,7,43,3.0613017751479283,0.9846153846153847,2.422248520710059,3.707692307692308,29,0,70,5,90.0
1860-45992,1860-01-31,51,3.888888888888889,1.2493443946512985,7.0,0.7440191387559808,11,27,3.2821361058601135,0.9782608695652174,1.7811909262759922,3.152173913043478,19,0,56,4,64.0
1860-38878,1860-01-31,32,3.2413793103448274,1.4975548130752045,5.0,0.7685185185185185,8,21,3.5655555555555543,0.9666666666666667,1.262222222222222,2.2666666666666666,10,0,33,7,37.0
1860-195200,1860-02-03,40,3.142857142857143,1.619582239452709,7.0,0.75,6,21,2.693672839506173,0.9722222222222222,1.8233024691358029,2.6944444444444446,18,0,46,7,50.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,20.0
1860-173176,1860-02-03,30,2.7857142857142856,1.2084497428129042,10.0,0.6136363636363636,5,18,2.033293697978597,0.9655172413793104,6.639714625445899,4.655172413793103,16,0,39,3,37.0
1860-111485,1860-02-03,52,2.8085106382978724,1.7988259191916607,11.0,0.7345238095238096,7,29,2.603732638888889,0.9791666666666666,7.6766493055555545,4.104166666666667,24,0,55,6,69.0
1860-52388,1860-02-03,72,3.090909090909091,2.4461005474609125,10.0,0.688,6,42,2.432613054132323,0.9850746268656716,6.117175317442637,4.82089552238806,29,0,74,19,95.0
1860-173134,1860-02-03,62,3.909090909090909,1.1986771468064374,7.0,0.7235714285714285,7,36,2.981823979591837,0.9821428571428571,2.5867346938775504,3.357142857142857,24,0,64,3,81.0
1860-25775,1860-02-07,70,4.416666666666667,0.9166252586025068,7.0,0.7446666666666667,6,35,2.376780435366836,0.9836065573770492,2.238645525396399,3.3934426229508197,28,0,71,2,91.0
1860-176802,1860-02-07,31,2.3448275862068964,1.3976929599755,9.0,0.6909090909090909,5,19,1.9655555555555557,0.9666666666666667,4.4766666666666675,4.3,16,0,32,3,39.0
