len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.10635610614841529,0.0
5,NDD,increasing,5.4201172883239224e-08,4.5304595180733175e-06
5,Height,decreasing,1.2680039753742989e-06,0.0
5,Ratio$_{head-final}$,increasing,4.882862114641284e-09,0.0
5,treeDegree,increasing,1.5298873279334657e-13,0.0
5,#Leaves,increasing,3.132556436469258e-10,0.0
5,degreeVar,increasing,1.6853185513809876e-13,0.0
5,degreeMean,increasing,0.0007054693695118797,0.0
5,depthVar,decreasing,9.36051236521962e-12,0.0
5,depthMean,decreasing,1.657313664082949e-08,0.0
5,d$_{head-final}$,decreasing,1.1229142282687121e-08,0.0
5,#Crossings,no trend,0.867660491809193,0.0
5,Height$_{dependency}$,no trend,0.7333715362447233,0.0
5,d$_{root}$,no trend,0.09207337054515796,0.0
5,d$_{randomTree}$,no trend,0.28047316260495503,0.0
10,MDD,no trend,0.6631989099028532,0.0
10,NDD,no trend,0.8847763069507637,0.0
10,Height,no trend,0.2768232103159767,0.0
10,Ratio$_{head-final}$,no trend,0.12382263295732154,0.0
10,treeDegree,no trend,0.16586727458479067,0.0
10,#Leaves,no trend,0.22317554214290247,0.0
10,degreeVar,no trend,0.06826903511982452,0.0
10,degreeMean,no trend,0.5843765005638797,0.0
10,depthVar,no trend,0.2684965422633301,0.0
10,depthMean,no trend,0.07423968513149393,0.0
10,d$_{head-final}$,no trend,0.6024208200769621,0.0
10,#Crossings,no trend,0.5655014204385571,0.0
10,Height$_{dependency}$,decreasing,0.03668922687590115,0.0
10,d$_{root}$,no trend,0.5562286638377356,0.0
10,d$_{randomTree}$,no trend,0.30957329760169516,0.0
15,MDD,no trend,0.658821379576253,0.0
15,NDD,decreasing,0.006152563694001634,-1.4161869574245152e-05
15,Height,no trend,0.6399102763348183,0.0
15,Ratio$_{head-final}$,no trend,0.14934205421410107,1.79182573779527e-06
15,treeDegree,no trend,0.326902563309484,0.0
15,#Leaves,no trend,0.4995577229674808,0.0
15,degreeVar,increasing,0.02300068118119758,5.6377862500297075e-06
15,degreeMean,no trend,0.5714205711409039,0.0
15,depthVar,no trend,0.7621057796950257,-2.4187865460243064e-19
15,depthMean,no trend,0.4929403318474934,0.0
15,d$_{head-final}$,no trend,0.20518224869195545,0.0
15,#Crossings,no trend,0.11718119339261346,0.0
15,Height$_{dependency}$,no trend,0.2468249143207868,0.0
15,d$_{root}$,decreasing,0.016285101007432523,0.0
15,d$_{randomTree}$,decreasing,0.04160550864649504,0.0
20,MDD,no trend,0.3489662759398673,0.0
20,NDD,no trend,0.09362389003860061,-9.741691747926873e-06
20,Height,increasing,0.0065443877277784335,0.0
20,Ratio$_{head-final}$,no trend,0.13469190510884732,-2.2231114668091153e-06
20,treeDegree,decreasing,0.016633491305785286,0.0
20,#Leaves,no trend,0.9524894000136017,0.0
20,degreeVar,decreasing,0.048413172206370314,-7.014400864408124e-06
20,degreeMean,no trend,0.06708947553389466,0.0
20,depthVar,increasing,0.010573154899377046,3.132796219848397e-05
20,depthMean,increasing,0.026897274343290478,1.660357308892868e-05
20,d$_{head-final}$,no trend,0.1697653367041485,0.0
20,#Crossings,no trend,0.6123520356915628,0.0
20,Height$_{dependency}$,no trend,0.2067740953417796,0.0
20,d$_{root}$,no trend,0.09113198657017807,0.0
20,d$_{randomTree}$,no trend,0.7048868253945135,0.0
30,MDD,no trend,0.07137958669081046,-1.2323770087745198e-05
30,NDD,increasing,0.010109575946939842,1.7564278060384186e-05
30,Height,increasing,0.014532111051214436,0.0
30,Ratio$_{head-final}$,decreasing,0.019023366332099112,-3.256314418393872e-06
30,treeDegree,decreasing,0.0036787445128361185,0.0
30,#Leaves,no trend,0.24921801512512598,0.0
30,degreeVar,no trend,0.10210282859325459,-6.91653728325548e-06
30,degreeMean,no trend,0.7254601690161651,0.0
30,depthVar,increasing,0.014897705729024269,4.1957572502685136e-05
30,depthMean,increasing,0.011814371528977352,2.3704377961565754e-05
30,d$_{head-final}$,increasing,0.005148906968169165,0.0
30,#Crossings,no trend,0.10415800235054617,0.0
30,Height$_{dependency}$,no trend,0.26797110267116087,0.0
30,d$_{root}$,no trend,0.09460153952163819,0.0
30,d$_{randomTree}$,no trend,0.2982399315865045,0.0
40,MDD,no trend,0.06417200517121557,-1.361841209314989e-05
40,NDD,no trend,0.160434622257148,1.0430179877517504e-05
40,Height,increasing,3.090760449242502e-05,0.0
40,Ratio$_{head-final}$,no trend,0.14334837014844792,-1.835042045128188e-06
40,treeDegree,decreasing,0.047689592092706956,0.0
40,#Leaves,no trend,0.41346173578746814,0.0
40,degreeVar,decreasing,0.04800936228233499,-1.3196227686799292e-05
40,degreeMean,no trend,0.06272613388255954,0.0
40,depthVar,increasing,1.9953544587059113e-05,8.795436165419095e-05
40,depthMean,increasing,1.2539846327097592e-05,4.6430684060675225e-05
40,d$_{head-final}$,increasing,0.03715726918442419,0.0
40,#Crossings,no trend,1.0,0.0
40,Height$_{dependency}$,no trend,0.30674215457157805,0.0
40,d$_{root}$,no trend,0.3606374916862587,0.0
40,d$_{randomTree}$,no trend,0.24679961331625577,0.0
50,MDD,decreasing,0.01521644834749658,-2.0146173297278464e-05
50,NDD,no trend,0.1426559572087298,1.1921362845960983e-05
50,Height,increasing,0.0016074730246711244,0.0
50,Ratio$_{head-final}$,decreasing,1.944723273528126e-06,-5.658244994529174e-06
50,treeDegree,decreasing,0.00021661334922740139,0.0
50,#Leaves,no trend,0.09051520000800006,0.0
50,degreeVar,decreasing,0.0034540094593409343,-2.1265279815865744e-05
50,degreeMean,no trend,0.5561673161391245,0.0
50,depthVar,increasing,0.00023140251682618462,9.237548768350641e-05
50,depthMean,increasing,1.3358909698446553e-06,5.916971881437564e-05
