id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-27521,1860-01-26,51,3.511111111111111,1.004961745267873,9.0,0.7129464285714286,7,28,2.9777882797731565,0.9782608695652174,4.5902646502835545,4.586956521739131,21,0,56,2,66.0
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,4,2.359375,0.875,0.4375,1.25,5,0,13,6,11.0
1860-156797,1860-01-30,31,2.9642857142857144,1.4928915519858705,9.0,0.6016666666666667,5,19,2.3781212841854926,0.9655172413793104,4.946492271105827,3.8620689655172415,16,0,44,6,40.0
1860-38786,1860-01-31,70,3.1875,1.7326756806803243,11.0,0.745578231292517,7,44,2.999763313609467,0.9846153846153847,6.126390532544378,4.476923076923077,30,0,70,5,89.0
1860-38878,1860-01-31,32,3.1724137931034484,1.4419856783825389,5.0,0.6547619047619048,7,20,3.2322222222222203,0.9666666666666667,1.1555555555555554,2.3333333333333335,11,0,33,6,36.0
1860-45992,1860-01-31,51,7.777777777777778,0.5561972140913533,8.0,0.6754385964912281,8,27,2.4125708884688084,0.9782608695652174,4.23062381852552,4.173913043478261,20,0,108,4,67.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,13.0
1860-52388,1860-02-03,72,3.1363636363636362,2.43150174803976,9.0,0.7548611111111111,6,43,2.5520160392069506,0.9850746268656716,3.357986188460681,3.985074626865672,27,0,74,19,91.0
1860-173176,1860-02-03,30,3.3214285714285716,1.0325590763492398,6.0,0.7233333333333333,5,19,2.309155766944114,0.9655172413793104,1.3602853745541024,2.8620689655172415,10,0,39,3,36.0
1860-173134,1860-02-03,62,3.5636363636363635,1.2912005157035833,8.0,0.7229166666666667,8,36,3.231823979591837,0.9821428571428571,2.488520408163265,3.607142857142857,24,0,64,3,79.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,21.0
1860-111485,1860-02-03,52,2.765957446808511,1.8140933913224488,12.0,0.7898148148148147,6,30,2.562065972222222,0.9791666666666666,9.722222222222221,4.666666666666667,24,1,55,6,66.0
1860-195200,1860-02-03,40,3.142857142857143,1.619582239452709,7.0,0.75,6,21,2.693672839506173,0.9722222222222222,1.8233024691358029,2.6944444444444446,18,0,46,7,50.0
1860-176802,1860-02-07,31,2.3448275862068964,1.3976929599755,9.0,0.6909090909090909,5,19,1.9655555555555557,0.9666666666666667,4.4766666666666675,4.3,16,0,32,3,40.0
1860-25775,1860-02-07,70,4.083333333333333,0.995096874044002,9.0,0.7364197530864197,6,32,2.0489115829078206,0.9836065573770492,2.777210427304488,4.098360655737705,41,4,71,2,90.0
1860-175354,1860-02-09,71,3.3846153846153846,1.848542169084145,10.0,0.6541666666666667,6,41,2.560376492194674,0.9848484848484849,4.393250688705234,4.409090909090909,40,2,71,7,97.0
1860-143818,1860-02-09,7,2.25,0.889668474614749,3.0,1.0,3,2,1.3600000000000005,0.8,0.4,1.0,4,0,11,6,7.0
1860-109679,1860-02-09,12,2.4,0.6700524893252582,4.0,0.7083333333333333,4,7,1.9008264462809914,0.9090909090909091,0.9917355371900828,1.9090909090909092,4,0,15,2,13.0
1860-129278,1860-02-13,71,3.203125,1.8960218136967388,8.0,0.6327380952380952,7,41,2.9074556213017746,0.9846153846153847,2.9547928994082837,3.5538461538461537,30,0,70,7,94.0
1860-129213,1860-02-13,62,2.9464285714285716,2.183385175645844,12.0,0.6804347826086957,5,34,2.017236072637735,0.9824561403508771,7.483533394890736,4.245614035087719,25,1,77,12,82.0
1860-103658,1860-02-13,62,4.509433962264151,1.0376265292368032,9.0,0.6359649122807017,6,35,2.647805212620028,0.9814814814814815,3.9043209876543212,5.277777777777778,28,0,79,3,82.0
1860-24889,1860-02-14,70,2.8225806451612905,2.4202101354372343,10.0,0.7103174603174602,6,42,2.618795666414715,0.9841269841269841,3.7556059460821363,3.9206349206349205,31,0,70,16,92.0
1860-144442,1860-02-16,16,2.3076923076923075,1.3791603752210382,5.0,0.7111111111111111,5,8,2.066326530612244,0.9285714285714286,1.1224489795918369,1.8571428571428572,8,0,17,6,19.0
1860-120033,1860-02-16,52,6.266666666666667,0.4256497073567262,7.0,0.7033333333333333,7,30,2.6734404536862,0.9782608695652174,1.9886578449905479,3.4782608695652173,29,3,104,2,65.0
1860-47427,1860-02-16,41,2.2162162162162162,2.2219393816423496,10.0,0.7666666666666667,6,23,2.0256232686980615,0.9736842105263158,5.548476454293629,4.631578947368421,20,0,43,11,57.0
1860-186172,1860-02-16,51,3.6444444444444444,1.1704229045247236,7.0,0.7666666666666666,6,31,2.9777882797731565,0.9782608695652174,1.9943289224952745,3.3043478260869565,20,0,64,3,62.0
1860-186173,1860-02-16,71,3.5076923076923077,1.7357487465684367,10.0,0.7609999999999999,8,41,2.681588613406795,0.9848484848484849,5.3510101010101,4.166666666666667,28,0,75,6,96.0
1860-157189,1860-02-17,7,1.8,0.8573992140459632,3.0,0.8333333333333333,3,4,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2,0,8,3,6.0
1860-163678,1860-02-17,10,1.875,0.4700036292457356,5.0,0.5,4,5,1.654320987654321,0.8888888888888888,1.3333333333333333,2.3333333333333335,6,0,9,1,10.0
1860-157319,1860-02-17,62,3.8653846153846154,1.8755380921924127,7.0,0.7324561403508771,6,31,2.4336062655749378,0.9811320754716981,1.4489142043431824,2.849056603773585,28,0,69,12,81.0
1860-120501,1860-02-17,51,2.6458333333333335,0.9729240735046129,11.0,0.5833333333333333,4,29,1.7342773844231572,0.9795918367346939,6.81466055810079,6.040816326530612,28,0,52,1,69.0
1860-120504,1860-02-17,16,1.9285714285714286,1.2465517084960895,6.0,0.736111111111111,4,9,1.6622222222222227,0.9333333333333333,2.1599999999999997,2.8,8,0,17,3,18.0
1860-157307,1860-02-17,31,4.37037037037037,1.2309752674661842,6.0,0.7333333333333333,6,18,2.463010204081633,0.9642857142857143,1.9540816326530615,2.7857142857142856,13,0,52,8,40.0
1860-54684,1860-02-20,10,3.3333333333333335,0.8675945588698303,3.0,1.0,5,4,2.979591836734694,0.8571428571428571,0.2857142857142857,1.0,6,0,17,9,10.0
