len_group,metric,MannKendall,p,slope
5,MDD,decreasing,0.011214638341630057,0.0
5,NDD,increasing,1.0528733129788748e-07,3.857925465390383e-06
5,Height,decreasing,0.0002692905154335623,0.0
5,Ratio$_{head-final}$,increasing,1.3057486153211784e-05,0.0
5,treeDegree,increasing,1.0936607175437985e-10,0.0
5,#Leaves,increasing,1.1199849936360806e-09,0.0
5,degreeVar,increasing,6.565783472467501e-10,0.0
5,degreeMean,increasing,0.000705772653857073,0.0
5,depthVar,decreasing,6.869210689153249e-08,0.0
5,depthMean,decreasing,0.0001729883816508071,0.0
5,d$_{head-final}$,decreasing,0.00014380798556401508,0.0
5,#Crossings,increasing,0.012249120581460327,0.0
5,Height$_{dependency}$,no trend,0.5940290043811272,0.0
5,d$_{root}$,increasing,0.006921911352568255,0.0
5,d$_{randomTree}$,no trend,0.39163054951457776,0.0
10,MDD,no trend,0.5794773222088758,0.0
10,NDD,no trend,0.41598029989280594,2.377060849322114e-06
10,Height,no trend,0.06855121888781968,0.0
10,Ratio$_{head-final}$,increasing,0.02112167633648876,0.0
10,treeDegree,no trend,0.1205889536297804,0.0
10,#Leaves,no trend,0.09655282556051592,0.0
10,degreeVar,increasing,0.02755013840077858,0.0
10,degreeMean,no trend,0.5732062058845666,0.0
10,depthVar,no trend,0.10206079145877522,-4.5013427350847024e-08
10,depthMean,decreasing,0.02433825142046664,0.0
10,d$_{head-final}$,no trend,0.171129514752828,0.0
10,#Crossings,no trend,0.11091680263097725,0.0
10,Height$_{dependency}$,no trend,0.25051708005289997,0.0
10,d$_{root}$,no trend,0.8153211881384885,0.0
10,d$_{randomTree}$,no trend,0.40585761783028373,0.0
15,MDD,no trend,0.6256581325281805,0.0
15,NDD,no trend,0.19445504461487761,-6.514419909142006e-06
15,Height,no trend,0.22489396830121944,0.0
15,Ratio$_{head-final}$,no trend,0.09154152741546007,2.2768670309653683e-06
15,treeDegree,no trend,0.28243064174425614,0.0
15,#Leaves,no trend,0.1315023237153925,0.0
15,degreeVar,increasing,0.008713285942365534,9.091781725641923e-06
15,degreeMean,no trend,0.5463845780157977,0.0
15,depthVar,no trend,0.22800241047816128,-9.028913637652332e-06
15,depthMean,no trend,0.1084583063390796,-2.9949086552860033e-06
15,d$_{head-final}$,decreasing,0.02692946312300082,0.0
15,#Crossings,no trend,0.9922847435885314,0.0
15,Height$_{dependency}$,no trend,0.2565707584548478,0.0
15,d$_{root}$,no trend,0.41009069904033923,0.0
15,d$_{randomTree}$,no trend,0.49826841775009223,0.0
20,MDD,no trend,0.24870283117422853,4.154240727149837e-06
20,NDD,no trend,0.163938074157445,-8.316076664332546e-06
20,Height,no trend,0.09680651756878134,0.0
20,Ratio$_{head-final}$,decreasing,0.014753409228023928,-3.797295880128355e-06
20,treeDegree,no trend,0.06057067616416445,0.0
20,#Leaves,no trend,0.615222869798401,0.0
20,degreeVar,no trend,0.09084681045210696,-4.953310719708769e-06
20,degreeMean,no trend,0.07235808356388085,0.0
20,depthVar,increasing,0.03982357048516594,2.429768739855073e-05
20,depthMean,no trend,0.08356916192156727,1.1314873118656267e-05
20,d$_{head-final}$,no trend,0.2322938943234556,0.0
20,#Crossings,no trend,0.8743525446781917,0.0
20,Height$_{dependency}$,no trend,0.2816557562396449,0.0
20,d$_{root}$,no trend,0.1564089128184154,0.0
20,d$_{randomTree}$,no trend,0.7755723398723728,0.0
30,MDD,no trend,0.46363904155465163,-3.248634939601018e-06
30,NDD,increasing,0.010540760135323568,1.7547125972017946e-05
30,Height,no trend,0.23490617809383596,0.0
30,Ratio$_{head-final}$,no trend,0.19937932015770565,-1.7099039192790284e-06
30,treeDegree,decreasing,0.004485350315763137,0.0
30,#Leaves,no trend,0.9355619149170378,0.0
30,degreeVar,no trend,0.18658192983637933,-5.083082893334044e-06
30,degreeMean,no trend,0.6776184435717658,0.0
30,depthVar,no trend,0.12043396699904729,2.6323267377177218e-05
30,depthMean,no trend,0.3214046811216056,8.505261111515867e-06
30,d$_{head-final}$,no trend,0.3122559916261951,0.0
30,#Crossings,no trend,0.84199629465239,0.0
30,Height$_{dependency}$,no trend,0.6188635344991398,0.0
30,d$_{root}$,increasing,0.029326707990915635,0.0
30,d$_{randomTree}$,no trend,0.5804010491480645,0.0
40,MDD,no trend,0.3563696001966006,-6.354131533404045e-06
40,NDD,no trend,0.19854127190540583,9.474792805466765e-06
40,Height,increasing,0.0006348453978008983,0.0
40,Ratio$_{head-final}$,no trend,0.0994711084085591,-1.9452225334577907e-06
40,treeDegree,decreasing,0.00018817246988911407,0.0
40,#Leaves,no trend,0.6803711536769286,0.0
40,degreeVar,decreasing,0.0023968343189766372,-2.291423202951365e-05
40,degreeMean,no trend,0.07060169276301886,0.0
40,depthVar,increasing,0.0011795353603594183,6.960146478479388e-05
40,depthMean,increasing,0.003141086161833506,3.289473684210552e-05
40,d$_{head-final}$,no trend,0.21953616128134223,0.0
40,#Crossings,no trend,0.18405639757222403,0.0
40,Height$_{dependency}$,no trend,0.6220149501526167,0.0
40,d$_{root}$,no trend,0.2533471164894685,0.0
40,d$_{randomTree}$,no trend,0.5725405496214975,0.0
50,MDD,no trend,0.7934585857143779,7.93211696593925e-07
50,NDD,no trend,0.280075292557596,8.528573744997716e-06
50,Height,no trend,0.1096324632439345,0.0
50,Ratio$_{head-final}$,decreasing,4.689244007050064e-05,-4.491317381783454e-06
50,treeDegree,decreasing,1.7596021683941032e-05,0.0
50,#Leaves,no trend,0.06979148203899133,0.0
50,degreeVar,decreasing,0.002191033568670342,-2.261543982413276e-05
50,degreeMean,no trend,0.5186965847225806,0.0
50,depthVar,increasing,0.039746149737495795,5.429324234588516e-05
50,depthMean,increasing,0.002611580682269299,3.701094502981311e-05
50,d$_{head-final}$,no trend,0.24657148243634164,0.0
50,#Crossings,no trend,0.7991528666963617,0.0
50,Height$_{dependency}$,no trend,0.5192440373436991,0.0
50,d$_{root}$,no trend,0.4187947074205307,0.0
50,d$_{randomTree}$,no trend,0.5991861097625439,0.0
60,MDD,no trend,0.050451859590542325,-1.6966406515100217e-05
60,NDD,no trend,0.08621216110585794,1.390266738754285e-05
60,Height,increasing,1.0973697794902648e-06,0.0
60,Ratio$_{head-final}$,decreasing,3.9839351491322006e-05,-4.231141199226296e-06
60,treeDegree,decreasing,2.1295464947002074e-08,0.0
60,#Leaves,no trend,0.14050065575838966,0.0
60,degreeVar,decreasing,0.00012451632040155758,-2.6645330465915456e-05
60,degreeMean,no trend,0.5324412169088151,0.0
60,depthVar,increasing,1.4729769182153518e-08,0.00017247729198536688
60,depthMean,increasing,1.9567292675048975e-08,7.6385503875166e-05
60,d$_{head-final}$,no trend,0.29351864786778936,0.0
60,#Crossings,no trend,0.8099665630011004,0.0
60,Height$_{dependency}$,no trend,0.9453249843860585,0.0
60,d$_{root}$,no trend,0.3992821180710442,0.0
60,d$_{randomTree}$,no trend,0.8841539228881206,0.0
70,MDD,decreasing,0.00841584308947696,-2.3805604153654174e-05
70,NDD,increasing,0.012872624445716463,2.0392139126077836e-05
70,Height,increasing,1.037314383278698e-07,0.0
70,Ratio$_{head-final}$,decreasing,7.675343915991562e-09,-5.510070396956054e-06
70,treeDegree,decreasing,0.001260727644236903,0.0
70,#Leaves,no trend,0.06327773710193751,0.0
70,degreeVar,decreasing,0.00020227846168330288,-2.398225313268225e-05
70,degreeMean,increasing,0.012903872913512693,0.0
70,depthVar,increasing,5.7996565994145044e-08,0.0001943071978916556
70,depthMean,increasing,5.1966881908782625e-09,8.822132179406639e-05
70,d$_{head-final}$,increasing,0.0009023379763626327,0.0
70,#Crossings,no trend,0.15501808178556264,0.0
70,Height$_{dependency}$,no trend,0.9790515588431103,0.0
70,d$_{root}$,no trend,0.22353403250846116,0.0
70,d$_{randomTree}$,no trend,0.6798269372127868,0.0
