id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-78801,1860-01-26,11,2.7142857142857144,0.9370716753428182,3.0,0.875,4,6,2.359375,0.875,0.4375,1.25,2,0,13,6,14.0
1860-156797,1860-01-30,31,2.9642857142857144,1.4928915519858705,9.0,0.6016666666666667,5,19,2.3781212841854926,0.9655172413793104,4.946492271105827,3.8620689655172415,16,0,44,6,38.0
1860-38786,1860-01-31,70,3.703125,1.5827355333894093,7.0,0.7534013605442177,7,44,3.0613017751479283,0.9846153846153847,1.9701775147928997,3.5538461538461537,26,0,70,5,90.0
1860-153737,1860-01-31,11,2.4444444444444446,0.8067808148089812,3.0,0.7999999999999999,5,7,2.69,0.9,0.41,1.3,2,0,13,3,14.0
1860-45992,1860-01-31,51,5.088888888888889,0.980408365020573,9.0,0.7149122807017543,6,27,1.9777882797731563,0.9782608695652174,4.037807183364839,4.304347826086956,21,0,89,4,65.0
1860-38878,1860-01-31,32,3.103448275862069,1.463964585101314,5.0,0.6880952380952381,7,20,3.098888888888887,0.9666666666666667,1.2322222222222228,2.3666666666666667,11,0,33,6,41.0
1860-173176,1860-02-03,30,3.3214285714285716,1.0325590763492398,6.0,0.7233333333333333,5,19,2.309155766944114,0.9655172413793104,1.3602853745541024,2.8620689655172415,10,0,39,3,36.0
1860-111485,1860-02-03,52,3.1041666666666665,1.7090445886317727,11.0,0.7435185185185185,6,31,2.591420241566014,0.9795918367346939,7.223656809662641,4.204081632653061,24,3,55,6,64.0
1860-195200,1860-02-03,40,3.142857142857143,1.619582239452709,7.0,0.75,6,23,2.693672839506173,0.9722222222222222,1.8233024691358029,2.6944444444444446,16,0,46,7,51.0
1860-52361,1860-02-03,17,2.6666666666666665,0.9547712524422192,5.0,0.85,6,11,3.05859375,0.9375,0.984375,2.125,6,0,17,3,21.0
1860-173134,1860-02-03,62,4.054545454545455,1.1621434034739817,8.0,0.7049886621315192,7,35,2.8746811224489797,0.9821428571428571,2.7295918367346936,3.357142857142857,26,1,64,3,81.0
1860-52388,1860-02-03,72,3.242424242424242,2.3982445262832774,8.0,0.7593333333333332,6,42,2.3430608153263535,0.9850746268656716,3.0692804633548683,4.223880597014926,26,2,74,19,91.0
