len_group,metric,MannKendall,p,slope
5,MDD,no trend,0.40845770796545744,0.0
5,NDD,increasing,9.245673826541179e-08,4.949211154803689e-06
5,Height,decreasing,0.0008865680180771829,0.0
5,Ratio$_{head-final}$,increasing,7.313391314767159e-08,0.0
5,treeDegree,increasing,1.9618440205704246e-10,0.0
5,#Leaves,increasing,2.5203128473094694e-10,0.0
5,degreeVar,increasing,5.3614224171383285e-11,0.0
5,degreeMean,increasing,0.0017959997273726547,0.0
5,depthVar,decreasing,1.5383069995600351e-07,0.0
5,depthMean,decreasing,0.002812947908916952,0.0
5,d$_{head-final}$,decreasing,8.339329227169401e-11,0.0
5,#Crossings,no trend,0.5991928739229524,0.0
5,Height$_{dependency}$,increasing,0.0005476023963442156,0.0
5,d$_{root}$,increasing,1.415555589967532e-05,0.0
5,d$_{randomTree}$,no trend,0.5421974386283552,0.0
10,MDD,no trend,0.7126122964332839,0.0
10,NDD,no trend,0.3320614873467127,3.453740483472711e-06
10,Height,no trend,0.05244664911422414,0.0
10,Ratio$_{head-final}$,increasing,0.023992866363202303,0.0
10,treeDegree,no trend,0.1823630441272437,0.0
10,#Leaves,no trend,0.11891338371114046,0.0
10,degreeVar,increasing,0.04638841489893153,0.0
10,degreeMean,no trend,0.562584316179902,0.0
10,depthVar,no trend,0.054619380375902304,-2.2464687137553106e-06
10,depthMean,decreasing,0.03127487086569314,0.0
10,d$_{head-final}$,decreasing,0.02903768287768793,0.0
10,#Crossings,no trend,0.9683458474345543,0.0
10,Height$_{dependency}$,no trend,0.06475204372805399,0.0
10,d$_{root}$,no trend,0.6232193510103698,0.0
10,d$_{randomTree}$,no trend,0.503729793679413,0.0
15,MDD,no trend,0.2840969243418068,0.0
15,NDD,no trend,0.16292267468744637,-7.71961964607727e-06
15,Height,no trend,0.05849760481682775,0.0
15,Ratio$_{head-final}$,increasing,0.007958967040406328,4.516711833784898e-06
15,treeDegree,no trend,0.06907586859407622,0.0
15,#Leaves,no trend,0.3324627928023922,0.0
15,degreeVar,increasing,0.0011702236836805824,1.551745654994556e-05
15,degreeMean,no trend,0.3778697448073127,0.0
15,depthVar,decreasing,0.01754828174682954,-2.1441683249263262e-05
15,depthMean,decreasing,0.008227981783493155,-1.3537753409821592e-05
15,d$_{head-final}$,decreasing,0.0002521019175831807,0.0
15,#Crossings,no trend,0.24725452457829356,0.0
15,Height$_{dependency}$,no trend,0.3351873374372607,0.0
15,d$_{root}$,no trend,0.6109805421637085,0.0
15,d$_{randomTree}$,no trend,0.37446731018452484,0.0
20,MDD,no trend,0.193573894362578,6.490514113622917e-06
20,NDD,no trend,0.44746914046840836,-4.999935127666035e-06
20,Height,no trend,0.5700462494630765,0.0
20,Ratio$_{head-final}$,no trend,0.28088204988333176,-1.5660480776760339e-06
20,treeDegree,no trend,0.2958467019288811,0.0
20,#Leaves,no trend,0.6121247913442207,0.0
20,degreeVar,no trend,0.2562637216333403,-4.440892098500626e-18
20,degreeMean,no trend,0.22351878176678186,0.0
20,depthVar,no trend,0.6582191908518575,4.986149584487621e-06
20,depthMean,no trend,0.7313640290563361,0.0
20,d$_{head-final}$,no trend,0.8735214583791466,0.0
