Len,Metric,Trend,Vote
70,d$_{head-final}$,increasing,6
70,depthMean,increasing,5
70,Height,increasing,4
70,depthVar,increasing,4
70,Height$_{dependency}$,increasing,4
70,Ratio$_{head-final}$,decreasing,6
70,treeDegree,decreasing,6
70,#Leaves,decreasing,6
70,degreeVar,decreasing,6
70,degreeMean,decreasing,5
60,d$_{head-final}$,increasing,6
60,mDD,increasing,5
60,Height,increasing,4
60,depthVar,increasing,4
60,depthMean,increasing,4
60,Height$_{dependency}$,increasing,4
60,Ratio$_{head-final}$,decreasing,6
60,treeDegree,decreasing,6
60,#Leaves,decreasing,6
60,degreeVar,decreasing,6
60,degreeMean,decreasing,5
50,d$_{head-final}$,increasing,6
50,Height$_{dependency}$,increasing,6
50,mDD,increasing,5
50,depthMean,increasing,5
50,Height,increasing,4
50,depthVar,increasing,4
50,Ratio$_{head-final}$,decreasing,6
50,treeDegree,decreasing,6
50,#Leaves,decreasing,6
50,degreeVar,decreasing,6
50,degreeMean,decreasing,4
40,mDD,increasing,6
40,depthMean,increasing,6
40,d$_{head-final}$,increasing,6
40,Height$_{dependency}$,increasing,6
40,Ratio$_{head-final}$,decreasing,6
40,treeDegree,decreasing,6
40,#Leaves,decreasing,6
40,degreeVar,decreasing,6
40,degreeMean,decreasing,4
30,Height,increasing,5
30,depthMean,increasing,5
30,d$_{head-final}$,increasing,5
30,Height$_{dependency}$,increasing,5
30,depthVar,increasing,4
30,nDD,decreasing,5
30,Ratio$_{head-final}$,decreasing,5
30,treeDegree,decreasing,5
30,#Leaves,decreasing,5
30,degreeVar,decreasing,5
30,d$_{root}$,decreasing,4
20,mDD,increasing,6
20,treeDegree,decreasing,4
20,degreeVar,decreasing,4
20,#Crossings,decreasing,4
15,mDD,increasing,6
15,Height$_{dependency}$,increasing,4
15,#Crossings,decreasing,3
10,mDD,increasing,6
10,treeDegree,increasing,6
10,#Leaves,increasing,6
10,degreeVar,increasing,6
10,degreeMean,increasing,6
10,Height$_{dependency}$,increasing,6
10,nDD,decreasing,6
10,d$_{head-final}$,decreasing,5
10,depthMean,decreasing,4
5,mDD,increasing,6
5,treeDegree,increasing,6
5,#Leaves,increasing,6
5,degreeVar,increasing,6
5,Height$_{dependency}$,increasing,6
5,degreeMean,increasing,4
5,nDD,decreasing,6
5,Height,decreasing,6
5,depthVar,decreasing,6
5,depthMean,decreasing,6
5,d$_{head-final}$,decreasing,6
