Metric,5,10,15,20,30,40,50,60,70
d$_{root}$,+4,-,-,-,-,-,-,-,-
mDD,-,-,-,-,-,-,-,-,-5
nDD,+6,-,-,-,+6,-,-,-,-
#Crossings,-,-,-,-,-,-,-,-,-
#Leaves,+6,-,-,-,-,-,-,-,-
Height,-6,-,-,-,-,+4,-,+6,+5
Height$_{dependency}$,-,-,-,-,-,-,-,-,-
depthVar,-6,-,-,+4,-,+4,-,+6,+5
depthMean,-6,-4,-,-,-,-,+4,+6,+5
treeDegree,+6,-,-,-,-6,-4,-6,-6,-5
degreeVar,+6,+4,+6,-,-,-,-5,-6,-5
degreeMean,+6,-,-,-,-,-,-,-,+6
Ratio$_{head-final}$,+6,+4,-,-,-,-,-5,-5,-6
d$_{head-final}$,-6,-,-4,-,-,-,-,-,+4
d$_{randomTree}$,-,-,-,-,-,-,-,-,-
