Len,Metric,Trend,Vote
70,degreeMean,increasing,6
70,Height,increasing,5
70,depthVar,increasing,5
70,depthMean,increasing,5
70,d$_{head-final}$,increasing,4
70,Ratio$_{head-final}$,decreasing,6
70,mDD,decreasing,5
70,treeDegree,decreasing,5
70,degreeVar,decreasing,5
60,Height,increasing,6
60,depthVar,increasing,6
60,depthMean,increasing,6
60,treeDegree,decreasing,6
60,degreeVar,decreasing,6
60,Ratio$_{head-final}$,decreasing,5
50,depthMean,increasing,4
50,treeDegree,decreasing,6
50,Ratio$_{head-final}$,decreasing,5
50,degreeVar,decreasing,5
40,Height,increasing,4
40,depthVar,increasing,4
40,treeDegree,decreasing,4
30,nDD,increasing,6
30,treeDegree,decreasing,6
20,depthVar,increasing,4
15,degreeVar,increasing,6
15,d$_{head-final}$,decreasing,4
10,Ratio$_{head-final}$,increasing,4
10,degreeVar,increasing,4
10,depthMean,decreasing,4
5,nDD,increasing,6
5,Ratio$_{head-final}$,increasing,6
5,treeDegree,increasing,6
5,#Leaves,increasing,6
5,degreeVar,increasing,6
5,degreeMean,increasing,6
5,d$_{root}$,increasing,4
5,Height,decreasing,6
5,depthVar,decreasing,6
5,depthMean,decreasing,6
5,d$_{head-final}$,decreasing,6
